stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,4,2,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0.82,0,1.64,0,0,0,1.64,0,1.64,10.67,0,0,0.82,0,3.28,0,0.82,0,0.82,4.1,0,0,3.28,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,3.22,0,1.61,21.75,0.81,0.81,0,0,2.42,0,0,0,0,4.03,0,0,0.81,0.81
 48-58,0,0,0,0,0,2.3,0.57,0,0,1.72,0,0,0,0,0,2.87,0.57,0.57,30.99,0,0,0,0,1.72,0,0,0,0,5.16,0,0,0.57,1.15
 60-70,0,0,0.98,0,0,3.93,0.98,0,0,0.98,0,0,0.98,0,0,2.94,0,1.96,29.45,0.98,0,0,0,1.96,0,0,0,0,7.85,0,0,0,0.98
 72-82,0,0,0.98,0,0,8.83,0,0,0.98,3.93,0,0,0,0,0,6.87,0,0,13.74,0,0.98,0,0,4.91,0,0,0.98,0,3.93,0,0,3.93,0
 84-94,0,0,1.06,1.06,0,3.19,0,0,0,1.06,1.06,0,0,1.06,0,1.06,0,0,9.56,0,0,0,0,5.31,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,0,2.19,0,0,1.09,1.09,2.19,0,0,0,1.09,1.09,0,0,9.84,0,0,0,0,6.56,0,0,0,0,2.19,1.09,0,0,0
108-118,0,0,3.06,0,0.77,3.06,0,0,0,2.3,0,0.77,0,0,0,0.77,0,0,10.72,0,0.77,0.77,0,2.3,0,0,0,0,0,0,0,0,0
120,1.96,0,7.84,0,0,0,0,1.96,0,0,7.84,0,0,0,0,1.96,0,1.96,21.56,0,0,0,0,17.64,0,0,0,0,1.96,0,0,1.96,0
