stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.78,9.85,2.46,0.82,0,0,0,0,0,2.46,0,11.49,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,44.31,10.47,1.61,0,0,0,0,0,0,0,0,30.62,0,0
 48-58,0,0,0.57,0,2.3,0,0,0.57,0,0,0,0.57,0,0,0.57,90.09,17.79,8.03,0,0,0,0,0,0,1.72,0,43.04,0,0
 60-70,0,0,0,0,0.98,0.98,0,0.98,1.96,0,0,0,0.98,0,0,234.58,19.63,5.89,0,0,0,0.98,0,0,0,0,51.04,0,0
 72-82,0,0,1.96,0,16.69,0,0,1.96,2.94,0,0,0,0,0,0,400.52,30.43,14.72,0,0,0,0,0.98,0,0.98,1.96,83.44,0,0
 84-94,0,0,4.25,0,24.43,1.06,0,2.12,0,0,0,1.06,0,0,1.06,271.88,22.3,4.25,0,0,0,0,2.12,1.06,0,2.12,78.59,2.12,0
 96-106,1.09,0,0,1.09,14.21,0,1.09,1.09,2.19,1.09,0,0,1.09,0,0,278.68,18.58,15.3,0,2.19,0,0,1.09,0,0,0,85.24,3.28,0
108-118,0,0,0.77,0,4.6,0.77,1.53,0.77,3.06,0.77,0,0.77,0.77,0,0.77,261.96,16.85,13.02,0,0,0,1.53,1.53,0,0,0.77,74.3,0,0.77
120,0,0,1.96,1.96,13.72,0,0,0,0,1.96,0,0,0,0,1.96,170.5,5.88,3.92,0,0,0,3.92,0,0,0,0,39.2,0,0
