stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,2174.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1189.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,5.26,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,3,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,3,25,1,0,0,0,0,5,1,2,2,3,6,9,0,0,2,0,0
 24-34,0,0,0,3.28,0.82,0,12.31,0,0,0.82,1.64,0,0,1.64,1.64,1.64,0,0,0,0,7.39,0,0,4.1,94.4,0.82,0,0.82,0,0,4.1,0,0,2.46,0.82,0.82,32.01,0,0,10.67,0,0
 36-46,0,0,0,4.83,0.81,0,20.14,0.81,0.81,1.61,8.86,0,0.81,3.22,2.42,0.81,0,0,0,1.61,16.11,0,0,4.83,59.62,1.61,0.81,0.81,0,0,7.25,0.81,0,1.61,0.81,0,24.17,0,0,12.09,0,0
 48-58,0,0,0,4.02,1.15,0,12.05,1.15,1.15,2.3,8.61,0.57,0,2.87,4.59,0,0,0,0.57,0,29.26,0,1.15,4.59,29.84,0.57,0.57,1.72,0,0,2.87,0,0,1.15,1.15,0,8.03,0,0,11.48,0,0
 60-70,0,0,0,0.98,0,0,20.61,0,0,0.98,19.63,0,0,1.96,5.89,0,0,0.98,0,0,52.02,0,2.94,5.89,23.56,0,0.98,1.96,0,0.98,4.91,0,0,0.98,2.94,0,5.89,0,2.94,17.67,0.98,0
 72-82,0,0,0,7.85,5.89,0,17.67,0,1.96,2.94,40.25,0.98,0.98,5.89,16.69,0.98,0.98,0,0,0,80.5,0.98,3.93,3.93,21.6,0,0,3.93,0,1.96,3.93,0,0,0,0,0,4.91,0,1.96,38.28,2.94,0.98
 84-94,0,0,0,6.37,6.37,0,10.62,0,2.12,0,23.36,0,1.06,5.31,28.68,0,1.06,2.12,1.06,2.12,52.04,1.06,2.12,6.37,10.62,0,1.06,2.12,0,0,30.8,0,0,2.12,1.06,0,2.12,1.06,0,25.49,3.19,0
 96-106,0,0,1.09,19.67,7.65,1.09,14.21,2.19,1.09,2.19,19.67,4.37,0,6.56,31.69,0,0,1.09,0,0,53.55,3.28,4.37,3.28,15.3,3.28,0,9.84,0,1.09,16.39,0,0,2.19,3.28,0,0,1.09,3.28,37.16,2.19,0
108-118,0,0,0,11.49,6.89,1.53,19.15,3.06,5.36,1.53,17.62,1.53,0,2.3,36,0,0.77,0.77,0.77,0,45.19,2.3,0,3.06,28.34,1.53,0,3.83,0,0.77,10.72,0,0,0.77,3.06,0,0,0.77,1.53,25.28,1.53,0
120,0,0,0,13.72,5.88,0,7.84,3.92,5.88,0,5.88,3.92,0,1.96,29.4,0,0,1.96,0,0,29.4,0,1.96,1.96,13.72,1.96,3.92,3.92,0,0,27.44,0,0,1.96,0,0,0,0,0,13.72,0,0
