stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,14,3,0,943,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,7,534,4,0,3,2,2,0,4,0,0,6,34,0,0,0,0
 24-34,0,0,0,18.06,1.64,0,1796.85,0,0.82,0,4.1,0.82,1.64,0,0,0.82,0.82,0,1.64,30.37,0.82,0,13.13,912.79,0.82,5.75,4.1,0.82,6.57,0,0,0,0.82,5.75,128.87,0,4.93,0,0.82
 36-46,0,0,0,5.64,2.42,0,1662.9,0.81,0,0,6.45,0,0,0.81,0.81,1.61,0,0,0.81,13.7,0.81,0.81,7.25,564.77,0,0,0,0,1.61,0,0.81,0.81,0.81,0,95.87,0,2.42,0,1.61
 48-58,0,0,0,4.59,0.57,0,1005.88,0,0.57,1.15,18.94,0,0,0.57,0.57,0.57,0,1.15,0.57,18.36,0,0.57,4.02,498.64,0.57,1.15,0,0,3.44,0,0,0,0,0,81.48,0,1.72,0,1.72
 60-70,0,0,0,1.96,0,0,734.18,0,0.98,0,53.98,0,0,0.98,0,0,0,0,0,17.67,0,0,0.98,413.22,0.98,0.98,0,0,0.98,0,0,0,0,0,62.82,0,1.96,0,0
 72-82,0,0,0.98,9.82,1.96,0,742.14,0.98,0,1.96,105.04,0,1.96,0.98,0,0.98,0,1.96,0,18.65,0,1.96,0,262.1,0,0.98,0.98,0,0.98,0,0,0,0,0,40.25,0.98,0.98,0,0.98
 84-94,0,0,0,8.5,1.06,0,515.09,1.06,0,0,88.15,0,0,0,2.12,0,0,1.06,1.06,22.3,0,3.19,1.06,172.05,0,2.12,0,0,2.12,0,0,1.06,1.06,0,22.3,0,3.19,0,1.06
 96-106,0,0,0,6.56,1.09,0,558.44,0,1.09,0,102.73,1.09,0,0,0,0,1.09,1.09,1.09,18.58,0,2.19,0,112.56,1.09,0,1.09,0,3.28,0,0,0,0,0,2.19,1.09,3.28,1.09,0
108-118,0,0,0,6.13,2.3,0,396.77,0,0.77,0.77,73.53,0,0.77,0.77,0,0.77,0,0.77,0,13.02,0,0.77,0.77,125.62,0.77,1.53,0.77,0,0,0,0,0.77,0,0,3.06,0.77,0.77,0,0
120,0,0,0,5.88,5.88,1.96,341,1.96,0,0,52.91,0,0,0,1.96,0,0,1.96,0,7.84,0,1.96,0,184.22,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0
