stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,4,0,1,0,0,16,0,0,0,0,7,0,0,0
 24-34,0,0.82,0,0.82,3.28,0,0,0,3.28,0.82,0,38.58,0,2.46,0,0,13.13,0,0.82,0
 36-46,0,0,0,0.81,16.92,1.61,1.61,0.81,4.03,0,1.61,68.48,1.61,0.81,0,0,17.72,0,0,0
 48-58,0,0,0,0,45.9,5.16,0,0,5.74,0,0,52.22,0,0.57,0,0,9.75,0,0,0
 60-70,0,0,0,0,69.69,7.85,0,0,11.78,0.98,1.96,69.69,0,0,0,0,5.89,0,1.96,0
 72-82,0,0,0,0,43.19,7.85,0.98,0,5.89,0,0,34.36,0,0,0,0,4.91,1.96,0.98,0.98
 84-94,0,0,1.06,0,43.54,2.12,1.06,0,6.37,1.06,0,30.8,1.06,1.06,0,0,1.06,1.06,0,2.12
 96-106,0,0,1.09,0,28.41,4.37,0,0,3.28,0,0,20.76,1.09,3.28,0,0,0,0,0,0
108-118,0,0,0,0,11.49,2.3,0,0,3.06,0,0,24.51,0,3.06,0,0.77,1.53,0,0,0
120,0,0,0,1.96,5.88,3.92,0,0,3.92,0,1.96,7.84,0,0,0,0,0,0,0,0
