stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,18.88,0,0,9.44,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0
 24-34,0,0.82,1.64,0.82,0,0,0,0,0,0,1.64,0.82,27.91,0,0,0,0,5.75,2.46,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,47.53,0.81,0,0,0,12.89,0,0
 48-58,0,0,0,0,2.3,0,0.57,0.57,0,0.57,0.57,0.57,80.33,0,0,0,0,16.64,0.57,0
 60-70,0,0,0,0,3.93,0,0,0.98,0,0,1.96,0,115.82,0,0,0,0,17.67,0.98,0
 72-82,0,0,0,0,6.87,0,0.98,0.98,0,0,0,0,106.02,0,0.98,0,0,11.78,0,0
 84-94,0,0,0,0,11.68,0,1.06,1.06,1.06,1.06,1.06,0,67.97,2.12,0,0,0,5.31,0,0
 96-106,0,0,3.28,0,12.02,1.09,0,2.19,0,0,2.19,1.09,74.31,0,0,0,1.09,3.28,0,0
108-118,0,0,1.53,0,3.83,0,0,3.83,0,0,0,0,55.92,0.77,0,0,0,1.53,0,0
120,0,0,0,0,3.92,0,0,0,0,0,3.92,0,82.31,0,0,0,0,1.96,0,0
