stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14,3,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,4,2,0,3,25,1,0,0,0,8,0,4,0,0,6,7,0,0,0,0,0
 24-34,0,0,0.82,0.82,45.97,0,0,46.79,0,2.46,2.46,4.1,2.46,0,3.28,0.82,59.92,0.82,0.82,2.46,3.28,47.61,7.39,0,22.16,497.44,5.75,4.1,4.93,0,59.1,0,0,1.64,0.82,7.39,69.77,0,0,17.24,0,4.93
 36-46,0,0,0,0,16.92,1.61,0,44.31,1.61,0,2.42,6.45,1.61,0,0,0,27.39,0,0.81,1.61,0,27.39,4.03,0.81,6.45,230.42,2.42,2.42,4.03,0.81,17.72,0,0,1.61,0.81,0.81,44.31,0,0,8.86,0,2.42
 48-58,0,0,0,0,12.05,1.15,0,53.36,1.15,0.57,1.15,12.05,0,0.57,0,0.57,15.49,0,0,0,1.15,17.79,3.44,0.57,6.31,148.04,0,1.72,0.57,0,8.61,0,0,0,0,0,31.56,0,0,5.74,0,5.74
 60-70,0,0,0,0,29.45,0,0,81.47,0,0.98,0.98,15.7,0,0,0,0,17.67,1.96,1.96,1.96,0,28.46,0.98,0.98,6.87,131.52,0.98,0.98,2.94,1.96,17.67,0,0,0,0,0,19.63,0,0.98,3.93,0,4.91
 72-82,0,0,0.98,0,33.38,11.78,0.98,107,1.96,1.96,3.93,27.49,1.96,0.98,2.94,4.91,31.41,0,0.98,0.98,0,83.44,6.87,0.98,9.82,175.72,0.98,7.85,3.93,0,26.5,0.98,0,0.98,0,0,14.72,0.98,4.91,10.8,0.98,4.91
 84-94,1.06,0,0,0,47.79,7.43,0,59.47,3.19,9.56,2.12,16.99,0,0,3.19,6.37,63.72,5.31,3.19,2.12,1.06,57.35,6.37,3.19,4.25,98.77,0,8.5,2.12,1.06,57.35,0,0,0,0,0,7.43,1.06,2.12,9.56,2.12,0
 96-106,1.09,0,3.28,0,110.38,40.44,4.37,119.12,3.28,10.93,5.46,53.55,12.02,0,2.19,17.49,79.78,9.84,16.39,24.04,2.19,124.58,5.46,6.56,16.39,288.51,3.28,20.76,5.46,2.19,112.56,2.19,0,2.19,1.09,0,13.11,9.84,4.37,21.86,10.93,5.46
108-118,0,0,2.3,0,74.3,15.32,8.43,86.55,2.3,9.96,4.6,31.4,10.72,0,0,5.36,85.02,3.83,13.79,7.66,0,92.68,6.89,7.66,9.96,228.26,2.3,11.49,4.6,0.77,50.55,0,0,0.77,0.77,0,6.89,2.3,1.53,6.13,3.06,3.06
120,0,0,0,0,74.47,7.84,3.92,47.03,0,5.88,3.92,9.8,7.84,0,0,11.76,50.95,3.92,3.92,1.96,0,37.24,0,0,0,148.94,0,5.88,1.96,1.96,35.28,0,0,1.96,0,0,5.88,1.96,0,9.8,3.92,0
