stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,672.07,11912.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0
  5-6,361.65,4499.15,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,36.78,36.78,0,0,0,0,0,0,0,0,0
  7-9,99.89,78.86,0,186.64,0,0,0,291.79,0,0,0,0,0,120.92,0,0,0,0,0,0,0,0,0,0,0,2597.17,107.78,0,0,1059.37,2.63,21.03,0,0,0,0,0,0,0,0
 10-12,3.15,116.44,0,188.82,0,9.44,0,217.14,0,0,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,2536.46,91.26,0,0,1060.53,6.29,9.44,6.29,132.17,9.44,9.44,0,0,0,0
 14-21,0,0,0,1,20,4,0,11,0,0,0,0,2,0,1,0,0,0,0,0,1,17,0,0,4,134,4,1,1,2,1,1,20,2,12,50,0,1,0,0
 24-34,0,0,0.82,0,9.03,0.82,0,42.68,0,1.64,0.82,4.1,0,0,0.82,0,0,0.82,0.82,1.64,0,25.45,0.82,0,8.21,297.97,1.64,3.28,4.1,0,4.93,0,0,0,3.28,64.85,0,2.46,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,63.65,0,0,0,12.09,0,0,0,0.81,0,0,0,0.81,0,18.53,0,1.61,1.61,284.4,0.81,4.03,2.42,0,3.22,0.81,0,0,0,78.15,0,2.42,0,0
 48-58,0,0,0,0.57,3.44,0,0,82.05,0,0,0.57,10.9,0,0,0,0,0,0,0,0,0,23.53,0,1.15,2.87,178.45,1.15,2.87,0.57,0,0.57,0,0,0,0,26.97,0,0.57,0,1.15
 60-70,0,0,0,0,2.94,0,0,141.34,0,0.98,0,20.61,0,0,1.96,0,0,0.98,0,0,0,29.45,0,3.93,1.96,243.42,0,0,0,0,0.98,0,0,0,0,25.52,0.98,3.93,0,0
 72-82,0,0,0,0,4.91,1.96,0,75.59,0,0,0,8.83,0,0,0.98,0.98,0,0,0,0.98,0,40.25,0.98,0.98,4.91,112.89,0,3.93,0.98,0,4.91,0,0,0,0,4.91,0.98,1.96,0.98,0
 84-94,0,0,0,0,3.19,0,0,53.1,1.06,0,1.06,8.5,4.25,0,0,1.06,0,1.06,5.31,0,1.06,29.74,0,3.19,7.43,67.97,0,1.06,2.12,0,5.31,0,0,0,0,10.62,2.12,3.19,3.19,0
 96-106,0,0,0,0,2.19,0,0,32.79,0,0,2.19,6.56,2.19,0,0,1.09,1.09,1.09,0,0,0,19.67,0,1.09,0,49.18,0,0,3.28,0,6.56,0,0,0,0,3.28,0,0,0,1.09
108-118,0,0,0,0,4.6,3.83,0.77,17.62,0,0.77,0.77,4.6,0.77,0,0,3.06,0.77,0.77,1.53,0.77,0,13.79,0,0,0.77,68.17,0.77,1.53,3.06,0,6.13,0,0,0.77,0,2.3,0.77,3.06,1.53,0.77
120,0,0,0,1.96,11.76,0,1.96,35.28,0,0,0,3.92,0,0,1.96,9.8,0,1.96,0,0,0,17.64,0,1.96,1.96,47.03,1.96,1.96,3.92,0,5.88,0,0,0,0,1.96,0,7.84,0,0
