stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,0,45,0,0,0,2,1,25,0,2,13,3,0,3,37,2,6,122,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,58.28,0,1.64,0,0,0.82,21.34,2.46,9.03,5.75,0,0,0,19.7,0,3.28,82.09,0,0.82
 36-46,0,0,0,0,0,2.42,0,0,34.64,0,0,0,0.81,0,21.75,0,6.45,0.81,0,0,0,7.25,0.81,0,53.98,0,0
 48-58,0,0,0,0,0,1.72,0.57,0,32.71,0,0,1.15,1.15,0.57,13.2,0,6.89,2.87,0,0,0,2.3,0,0,49.92,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,34.35,0,0,1.96,1.96,0,12.76,0,10.8,2.94,0,0,0,1.96,0,0,31.41,0,0
 72-82,0,1.96,0,0.98,0,7.85,0,0.98,57.92,1.96,1.96,1.96,2.94,0.98,11.78,0,9.82,15.71,0,0,0,0.98,0,0,24.54,0,0
 84-94,0,0,0,0,0,3.19,0,0,44.61,0,3.19,2.12,3.19,1.06,12.74,0,13.81,20.18,0,0,0,3.19,0,0,14.87,0,1.06
 96-106,0,0,0,0,0,10.93,0,0,31.69,0,1.09,10.93,2.19,0,6.56,0,22.95,22.95,0,2.19,0,3.28,0,0,24.04,1.09,0
108-118,0,0.77,0,0,0,6.13,0,0,31.4,0.77,1.53,7.66,3.83,0,5.36,0,16.85,17.62,0,0,0,1.53,0,0,11.49,0,0
120,0,1.96,0,0,0,5.88,0,0,5.88,0,0,9.8,1.96,0,5.88,0,11.76,11.76,0,0,0,5.88,0,0,1.96,1.96,0
