stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,6.45,0,0,0,0,0,0,0,0,17.72,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,20.08,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,1.72,0,0,0,9.18,0,0,0,0,0.57,0,0,0,12.62,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,0,372.98,0,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0,4.91,0.98,0,0,10.8,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,22.58,4.91,0.98,1157.38,0.98,1.96,7.85,26.5,3.93,0,0,0.98,0.98,0.98,1.96,0.98,0.98,53.01,1.96,1.96,7.85,133.51,0,2.94,1.96,0,8.83,0.98,0,1.96,13.74,0.98,0,2.94,0.98,3.93
 84-94,0,0,0,0,29.74,5.31,0,1210.72,1.06,0,1.06,12.74,1.06,0,1.06,3.19,0,1.06,0,2.12,0,13.81,0,1.06,4.25,58.41,1.06,0,3.19,0,8.5,0,0,0,3.19,0,0,3.19,0,1.06
 96-106,0,0,0,0,40.44,14.21,2.19,1116.89,1.09,3.28,0,21.86,4.37,0,1.09,8.74,2.19,3.28,2.19,2.19,0,53.55,1.09,3.28,8.74,147.53,3.28,6.56,5.46,1.09,29.51,0,1.09,2.19,4.37,4.37,1.09,3.28,2.19,2.19
108-118,0.77,0,1.53,0,21.45,9.96,0.77,857.11,0.77,3.83,1.53,24.51,3.06,0,2.3,3.06,3.06,2.3,3.06,4.6,1.53,87.32,0.77,3.83,3.83,217.53,3.06,4.6,6.89,0.77,22.21,0,0.77,0,3.83,1.53,2.3,3.06,0.77,4.6
120,0,0,1.96,1.96,56.83,13.72,0,1128.84,3.92,11.76,0,31.36,7.84,0,0,9.8,5.88,0,1.96,5.88,0,107.79,1.96,3.92,11.76,221.46,5.88,5.88,1.96,0,39.2,0,0,0,7.84,0,0,5.88,1.96,0
