stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,1,1,0,0,0,1,0,6,0,0,0,0,1,0,0,5,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0.82,0,0,0,1.64,0,18.88,0,0,0,0,0,0,0,6.57,0.82,0.82
 36-46,0,0,0,0,0,0.81,0,2.42,1.61,0,0,0,1.61,1.61,24.17,0.81,0,0,0,0,0,0.81,2.42,0,0
 48-58,0,0,0,0,0.57,0,0,7.46,0.57,0,0,0,1.15,1.72,11.48,0,0,0,0.57,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,7.85,1.96,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,4.91,0.98,0,0,0,5.89,0,7.85,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,3.19,1.06,2.12,0,1.06,6.37,0,5.31,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,5.46,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0.77,2.3,1.53,0,0.77,0.77,1.53,0,6.13,1.53,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0
