stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,91,0,6,0,6,0,3,0,1,0,0,0,0,0,2,0,0,1,31,2,1,4,1,0,0,1,0,35,0,0,0,0,0
 24-34,0,0,0,0.82,162.53,0.82,39.4,0,32.01,0,3.28,0,0,0,0,0,2.46,0,1.64,0.82,0,0.82,100.97,16.42,17.24,29.55,0,1.64,0,0,0.82,29.55,0,0,0,0,0
 36-46,0,0,0,0.81,87.82,0,45.12,0,19.34,0,6.45,0,0,0,0.81,0,0.81,0,1.61,0,0,0.81,154.69,23.36,16.11,19.34,0,1.61,0,0,0,26.59,0,0,3.22,0,0
 48-58,0,0,0,0.57,55.66,0,65.99,0.57,25.82,0,8.61,0,0,0,0,0.57,2.87,0,3.44,0,0,0.57,192.22,36.72,16.07,17.79,0,2.3,0.57,0,0,34.43,0,0,4.59,0,0
 60-70,0,0,0,0,53.98,0,90.3,0,24.54,0,11.78,0,0,0,0,0,0,0,12.76,0,0,0,350.4,30.43,8.83,31.41,0,0.98,0,0,0,51.04,0.98,0,11.78,0,0
 72-82,0,0,0.98,0,60.86,1.96,165.9,0,21.6,0,14.72,0,0,0,2.94,0,5.89,0,17.67,0,1.96,0.98,425.06,26.5,28.47,59.88,0,0,0,0.98,0,39.27,0.98,1.96,33.38,0.98,0
 84-94,0,0,0,0,141.25,0,121.07,0,43.54,0,21.24,4.25,0,0,1.06,0,8.5,0,18.05,2.12,0,1.06,206.04,43.54,22.3,53.1,0,3.19,0,3.19,0,22.3,3.19,1.06,20.18,1.06,0
 96-106,0,0,0,0,149.72,2.19,131.14,0,31.69,0,15.3,2.19,0,3.28,1.09,1.09,10.93,0,16.39,0,0,0,210.92,30.6,44.81,65.57,0,2.19,0,2.19,0,13.11,2.19,1.09,50.27,0,1.09
108-118,1.53,0,0.77,0,144,0,97.28,0,49.02,0.77,19.15,3.83,0.77,0.77,0.77,3.06,10.72,0.77,13.79,0.77,0,0.77,241.28,35.23,26.04,57.45,0,0.77,0,2.3,0,11.49,5.36,0.77,33.7,1.53,0
120,1.96,0,0,0,115.63,0,60.75,0,33.32,0,17.64,0,1.96,0,0,3.92,7.84,0,9.8,1.96,1.96,1.96,239.09,29.4,25.48,31.36,0,1.96,0,0,0,7.84,5.88,0,27.44,0,3.92
