stage,axial,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0.82,1.64,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0.81,0,0,0,12.09,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,17.79,0,0,0,4.59,0.57,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0.98,0,0,25.52,0,0,0,0.98,4.91,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,44.17,0,0.98,0,0,3.93,0,0,7.85,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,67.97,0,0,0,15.93,0,0,0,4.25,1.06,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,118.03,1.09,0,0,7.65,3.28,0,0,2.19,1.09,0,0,3.28,1.09
108-118,0,0,0,0.77,0.77,0,0,1.53,0.77,85.02,0,0,0,3.83,4.6,0.77,0,3.06,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,86.23,0,0,1.96,0,0,0,0,3.92,0,0,0,1.96,0
