stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,113.03,0,0,0,18.4,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,91.26,6.29,0,0,40.91,6.29,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,7,8,0,17,0,0,0,1,0,2,0,15,3,0,0,1,4,0,0,4,65,1,1,7,2,0,0,6,7,176,165,14,0,0,0,0,0
 24-34,0,0,1.64,1.64,4.1,1.64,0,13.13,0.82,0.82,0,0.82,0.82,0,0.82,23.8,8.21,1.64,0.82,0,5.75,0.82,0,12.31,100.14,1.64,19.7,14.78,0,1.64,0,0,11.49,49.25,55,13.13,0,0,0.82,0,0
 36-46,0,0,0,0,4.83,0,0,8.86,0.81,0,0,4.03,0.81,0,1.61,36.26,0,4.03,0,0,4.03,0,0,0.81,76.54,0.81,18.53,5.64,0.81,0.81,0,0,8.06,1.61,1.61,15.31,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,0,8.03,1.15,0,0.57,9.18,0.57,0,0,41.89,0,4.02,1.15,0,4.02,0,0,3.44,60.25,0,15.49,10.33,0,1.15,0.57,0,1.72,1.15,0,7.46,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,10.8,2.94,0.98,0.98,9.82,0,0.98,0,46.13,3.93,3.93,0.98,0,4.91,0,0,0.98,89.32,0,17.67,8.83,0,0.98,0,0,0.98,0.98,0,5.89,0,0,0,0,0
 72-82,0,0,4.91,0,2.94,0,0.98,15.71,0.98,0.98,0,28.47,2.94,0,0.98,70.68,0.98,14.72,0.98,0,21.6,1.96,0.98,0,145.29,0,34.36,21.6,0,0,0,0,0,0,0,2.94,9.82,0,0.98,0,0.98
 84-94,0,0,4.25,0,12.74,0,1.06,12.74,3.19,1.06,1.06,27.61,10.62,1.06,0,95.58,8.5,14.87,0,0,15.93,1.06,0,1.06,86.03,0,24.43,38.23,0,2.12,0,0,1.06,0,0,2.12,14.87,1.06,1.06,1.06,0
 96-106,0,0,1.09,0,15.3,2.19,5.46,21.86,1.09,0,0,24.04,8.74,0,0,143.16,3.28,25.14,0,1.09,22.95,1.09,0,4.37,109.28,1.09,31.69,49.18,0,2.19,0,0,0,1.09,0,1.09,26.23,0,3.28,0,0
108-118,0,0,3.06,0,23.74,1.53,7.66,12.26,0,0,0.77,22.98,13.02,0,0,134.04,4.6,13.02,3.06,0,16.85,1.53,0,3.06,105.7,0.77,28.34,33.7,0,3.06,0,0,3.83,3.83,0,2.3,32.17,0,2.3,0.77,0
120,0,0,1.96,0,23.52,0,1.96,5.88,1.96,0,0,17.64,3.92,0,0,141.1,0,13.72,0,0,11.76,1.96,1.96,5.88,90.15,3.92,19.6,27.44,0,15.68,0,1.96,5.88,1.96,0,5.88,9.8,0,7.84,0,1.96
