stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,9.44,0,6.29,0,0
 14-21,0,0,0,4,1,0,0,0,0,80,0,0,0,0,0,6,0,30,3,0,4,6,1,80,3,181
 24-34,0,0.82,0,2.46,0,0,0.82,0,0.82,91.12,0,0,0,0,0,1.64,0.82,35.3,0,7.39,1.64,0,0.82,68.95,1.64,164.17
 36-46,0,0,0,1.61,0,0,2.42,0,0,53.98,0,0,0,1.61,0,0,0,32.23,0,5.64,0,0,0,33.84,0,126.49
 48-58,0,0,0,0,0,0,7.46,0,0,48.2,0,0.57,0.57,0.57,0,2.87,1.15,18.94,0,5.74,0,0,0.57,7.46,0,105.01
 60-70,0,0,0,0,0,0,9.82,0,0.98,53,0,0,0.98,0,0,0,0,18.65,0,6.87,4.91,0,0,4.91,0,43.19
 72-82,0,1.96,0,0,0,0,18.65,0,0,62.83,2.94,0,6.87,0,0,1.96,0,13.74,0,11.78,9.82,0,0.98,4.91,0,31.41
 84-94,0,0,1.06,3.19,0,0,12.74,0,0,32.92,0,0,5.31,0,0,0,0,10.62,0,12.74,15.93,0,1.06,13.81,0,26.55
 96-106,0,0,3.28,0,0,0,8.74,1.09,0,15.3,3.28,0,15.3,0,1.09,2.19,0,6.56,0,24.04,18.58,0,0,4.37,0,29.51
108-118,0,0,2.3,0.77,0,0.77,8.43,0,0,23.74,0,0,5.36,0,0,1.53,0,9.96,0,13.02,13.79,0,0,9.19,0,14.55
120,0,1.96,1.96,1.96,0,0,11.76,0,0,7.84,0,0,5.88,0,0,0,0,9.8,0,7.84,9.8,0,0,3.92,0,21.56
