stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,643.61,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,23.66,23.66,0,0,0,15.77,0,0,0,0,0,181.38,0,0,0,0,0,0,0,0,0,0,0,512.6,34.17,0,0,683.47,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,31.47,0,3.15,0,9.44,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,213.99,37.76,0,0,390.22,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,71,1,0,36,0,0,0,0,0,2,1,0,0,0,0,0,0,17,0,0,36,126,20,0,0,87,0,1,1,93,0,94,47,0,0,0,0,0
 24-34,0,0,0.82,70.59,0,0,28.73,0,12.31,0,2.46,0,0,4.1,0,0,0,1.64,0.82,0,29.55,0.82,0,36.12,94.4,1.64,0,0.82,0,0.82,1.64,0,0.82,2.46,32.83,16.42,0,0,0,0,0
 36-46,0,0,0,24.98,0,0,32.23,0,9.67,0,11.28,0.81,0,2.42,0,0,0,0,0,0,20.14,0,1.61,11.28,49.95,0.81,0,1.61,0,0.81,3.22,0,0,0,0,6.45,0,0,0.81,0,0
 48-58,0,0,0,16.64,0,0,122.79,0,10.33,0,33.85,0,0,0.57,0.57,0,0,0,0,0,25.82,0.57,2.87,9.75,74.02,0,0.57,1.15,0,0,0.57,0,0,0.57,0,18.94,0,0,0,0,0
 60-70,0,0,0,12.76,0,0,296.42,0.98,9.82,0,70.67,0,0,0,0,0,0,1.96,0,0,21.59,0,0,8.83,41.22,0,0,0,0,0,0,0,0,2.94,0,16.69,0,1.96,0,0,0
 72-82,0,0,0,12.76,0,0,381.87,0,17.67,1.96,97.18,0,0,0.98,0,0.98,0,2.94,0,0,47.12,1.96,2.94,5.89,62.83,0.98,3.93,0.98,0,0,0,0,0,2.94,0,0.98,0.98,1.96,0,0,0
 84-94,0,0,0,26.55,1.06,0,221.97,0,33.99,1.06,77.53,2.12,1.06,1.06,0,2.12,0,7.43,1.06,0,39.3,1.06,1.06,6.37,44.61,0,0,2.12,0,0,3.19,0,0,12.74,0,3.19,0,4.25,0,2.12,0
 96-106,0,0,0,27.32,0,1.09,145.35,0,18.58,0,42.62,3.28,0,0,1.09,3.28,1.09,5.46,2.19,0,36.06,0,1.09,5.46,38.25,0,2.19,1.09,0,0,5.46,0,0,3.28,0,5.46,1.09,4.37,1.09,1.09,1.09
108-118,0,0,0,22.21,0,0,93.45,0,20.68,0,58.98,0.77,0,0.77,3.83,2.3,0,1.53,0,0,19.92,1.53,0.77,1.53,31.4,0,2.3,2.3,0,0,0,0,0,5.36,0,0,3.06,0,0,0,0.77
120,0,0,0,21.56,1.96,0,84.27,0,17.64,3.92,48.99,3.92,0,0,0,0,0,0,0,1.96,13.72,1.96,1.96,1.96,31.36,1.96,0,3.92,0,0,0,0,0,5.88,0,5.88,0,1.96,0,1.96,0
