stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,11,0,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,0,2.46,0,0,0,0,0,15.6,0,0,33.66,5.75,0,0,1.64,0,0,0,0,9.85,0.82,0,0,0,0,0
 36-46,0,0,0,0,1.61,3.22,0,5.64,0,0,0,0,0,33.84,0,0,37.87,9.67,0,0,3.22,0,0,0.81,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,1.15,4.59,0,4.59,0,0,0,0,0,103.28,0,0.57,37.3,8.03,0,0,6.31,0,0,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0.98,3.93,2.94,0,3.93,3.93,0,0,0,0.98,189.43,0,0,28.46,6.87,0,0.98,2.94,0,0.98,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0.98,18.65,1.96,0,6.87,0,0,0.98,0,0,373.03,0,0,48.1,12.76,0.98,0,3.93,0,0,0,0,0,2.94,0,0,4.91,1.96,0
 84-94,0,0,0,1.06,23.36,2.12,0,6.37,2.12,0,0,0,1.06,243.21,0,2.12,23.36,5.31,0,0,4.25,0,0,0,0,0,0,0,1.06,8.5,1.06,0
 96-106,0,0,0,2.19,18.58,1.09,0,5.46,2.19,0,0,0,0,283.05,1.09,6.56,32.79,13.11,0,0,3.28,0,2.19,0,0,0,2.19,0,0,7.65,0,1.09
108-118,0,0,0.77,0.77,6.89,3.06,0.77,0.77,1.53,1.53,0,2.3,0,245.11,0,2.3,29.11,13.79,0.77,0,3.06,0,0,0,2.3,0,0,0,0.77,13.02,1.53,0
120,0,0,0,0,3.92,3.92,1.96,0,0,0,0,0,0,158.74,0,3.92,9.8,5.88,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0
