stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,31.47,0,0,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,18,2,0,0,0,0,2,3,0,0,0,0,0,0,0,18,0,0,11,43,1,1,0,4,0,0,0,20,0,5,87,0,0,2,0,0
 24-34,0,0.82,0,3.28,0.82,9.03,0,0.82,1.64,3.28,0,0,0,0.82,0,0,0.82,0,9.03,0,0,12.31,205.21,0,7.39,0,0,0,0,0,0,0,6.57,61.56,0,0,5.75,0,0.82
 36-46,0,0.81,0,0,0,12.09,0,0,1.61,0,0,0,0,0,0,0,0,0,4.03,0,0,4.83,490.65,0,4.83,1.61,0,0,0,0,0,0.81,0,77.34,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,32.13,0,1.15,4.59,4.02,0.57,0,0,0,0,0,0.57,0,3.44,0,0,1.72,692.58,0,4.59,0,0,0.57,0.57,0,0,0,0,79.76,0,0,0.57,0,0
 60-70,0,0,0,3.93,0,114.84,0,0.98,2.94,6.87,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0.98,1149.36,0.98,8.83,0,0,0,0,0,0,0,0,121.71,0,0,0.98,0,0.98
 72-82,0,0.98,0,5.89,2.94,228.73,0,0,0.98,11.78,0.98,0,0,0,2.94,0,0,0,9.82,0.98,1.96,0.98,1034.67,0,1.96,0.98,0,0,0.98,0,0,1.96,0,91.29,1.96,0,0.98,0,1.96
 84-94,0,0,0,8.5,1.06,192.23,0,0,0,8.5,1.06,1.06,0,0,5.31,1.06,0,0,12.74,0,0,0,611.73,0,4.25,0,0,0,3.19,0,0,1.06,0,40.36,1.06,1.06,0,1.06,0
 96-106,0,0,0,8.74,2.19,167.21,3.28,0,2.19,4.37,0,0,1.09,0,3.28,0,1.09,1.09,6.56,0,1.09,0,448.07,0,5.46,2.19,0,0,6.56,0,0,0,0,31.69,0,0,1.09,1.09,1.09
108-118,0,0,0,9.19,0.77,147.06,0,0.77,0.77,6.13,1.53,0,0,0.77,2.3,0,0.77,0,5.36,0,0,0,637.28,0,3.06,2.3,0,0,0,0,0,0,0,17.62,0.77,0,0.77,0.77,0
120,0,0,0,5.88,0,160.7,0,0,1.96,13.72,0,0,0,1.96,1.96,1.96,1.96,0,7.84,0,0,5.88,566.38,0,1.96,1.96,0,0,1.96,0,0,0,0,11.76,0,0,0,0,0
