stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,318.74,0,0,0,6.13,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0,0
  7-9,0,0,7.89,0,2.63,7.89,0,0,0,0,0,113.03,2.63,0,34.17,0,0,0,0
 10-12,0,0,3.15,0,9.44,9.44,0,0,0,0,0,37.76,3.15,0,12.59,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,1,1,2
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,3.28,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,0.81,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0.57,0,0,1.72,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,1.96,0,0,0,0,0.98,0,4.91,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
