stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,136.26,0,0.82,0,0.82,0.82,0,0,0,0,0.82,0,0.82,100.14,1.64,0,0,2.46,23.8,0.82,0,0,0,0,0.82,0,0,0,9.85,0,0.82,0,0
 36-46,0,0,0,0,3.22,0.81,0,109.57,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81,143.41,1.61,0,0.81,2.42,33.03,0,0,0,0,0,0,0.81,0,0,4.03,0,3.22,0,0
 48-58,0,0,0,0,0.57,1.72,0,130.83,0,0.57,0,0,0,0,0,0,0,1.72,0,0,114.76,12.05,0,0,4.59,44.18,0,0,0.57,0,0,1.15,0,0,0.57,8.03,0,1.15,0,1.15
 60-70,0,0,0,0,0.98,0,0,141.34,0.98,0.98,0,3.93,0.98,0,0,0,0,0.98,0,0,69.69,17.67,0,0,4.91,33.37,0,0,0,0,0.98,2.94,0,0,0,6.87,0,1.96,0,0
 72-82,0,0,1.96,0,0.98,5.89,0,133.51,0,0,0.98,4.91,0.98,0,0.98,0.98,0,1.96,0,1.96,72.64,31.41,0,0.98,4.91,25.52,0,0,0,0,0,0.98,0,0,0,4.91,0,0.98,0.98,0.98
 84-94,0,0,2.12,0,3.19,3.19,0,240.02,0,1.06,3.19,1.06,1.06,0,0,1.06,1.06,2.12,0,0,129.57,36.11,1.06,0,1.06,25.49,0,0,0,0,0,2.12,0,0,1.06,2.12,0,5.31,0,1.06
 96-106,0,0,0,0,2.19,2.19,1.09,226.22,0,0,0,3.28,3.28,0,0,2.19,0,1.09,2.19,1.09,78.68,26.23,0,0,2.19,36.06,0,1.09,0,0,0,3.28,0,0,0,4.37,0,3.28,0,0
108-118,0,0,0,0,2.3,0.77,1.53,215.24,0,0.77,0.77,6.89,0.77,0,0.77,0,0,2.3,0,0,115.66,16.85,0.77,0.77,3.06,28.34,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0.77,0,2.3
120,0,0,0,0,1.96,0,0,94.07,0,0,0,0,3.92,0,0,1.96,0,0,1.96,1.96,47.03,7.84,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
