stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,3.15,0,0,0
 14-21,0,1,0,0,1,0,0,8,0,1,1,1
 24-34,0,0,0,0.82,0,1.64,0.82,4.1,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,1.72,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,1.96,0,0,0,0.98
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,2.3,0.77,3.83,0,0,0,0.77
120,0,3.92,0,0,0,0,0,0,0,0,0,0
