stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,7,0,0
 24-34,0,0,0,0.82,3.28,0,0.82,0,0.82,0.82,0.82,0,0,0,0,0,8.21,0,0
 36-46,0,0,0,0.81,2.42,0,0,0,0,0,8.06,0,0,0,0,1.61,8.86,0,0
 48-58,0,0,0,0,1.72,0,0,0.57,0,0.57,5.74,0,0,0,0,0,5.74,0,0.57
 60-70,0,0,0,0.98,2.94,1.96,0,0,0,0,11.78,0,0.98,0,0,0.98,3.93,0,0
 72-82,0,0,0,0.98,2.94,2.94,0,0,0.98,0,5.89,0.98,0.98,0,0,0,3.93,0.98,0
 84-94,0,1.06,0,2.12,3.19,6.37,0,0,4.25,0,1.06,0,0,0,0,1.06,3.19,0,0
 96-106,0,0,1.09,1.09,2.19,15.3,0,0,1.09,0,2.19,0,1.09,0,1.09,0,0,0,0
108-118,0.77,0,0,0,1.53,10.72,0,0.77,0.77,0,0.77,0,1.53,0,0,0,3.06,0,0
120,0,1.96,0,0,0,7.84,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
