stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,9.03,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,8.86,0,0,0.81,0,1.61,0,0.81,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,1.15,0,0.57,0,0,1.15,0,0,25.25,0,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,0,0,4.91,0,0,0,1.96,0,0,0.98,0,3.93,0,0.98,91.28,0,0,0,0,3.93,0,0,0
 72-82,0,0,0.98,0,0,3.93,0,0,0,1.96,0,0,0,0,10.8,0.98,0,78.53,0,0,0,0,1.96,0,0,2.94
 84-94,0,1.06,5.31,1.06,0,9.56,0,0,1.06,1.06,0,0,1.06,1.06,10.62,1.06,0,54.16,1.06,1.06,2.12,0,2.12,1.06,2.12,1.06
 96-106,0,0,2.19,0,3.28,9.84,0,1.09,0,1.09,1.09,1.09,0,0,13.11,1.09,0,65.57,0,0,1.09,0,2.19,0,3.28,7.65
108-118,0,0.77,1.53,0,9.19,12.26,0.77,0,0.77,1.53,0.77,0,0,0.77,7.66,0.77,0,49.02,0.77,0,2.3,0,0,0.77,1.53,0.77
120,0,0,1.96,0,5.88,3.92,0,0,0,0,0,0,1.96,0,11.76,0,0,76.43,0,0,0,0,1.96,0,0,3.92
