stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,44,0,0,0,0,0,0,1,1,1,21,0,0,0,0,1
 24-34,0,0,0,0,0,36.12,0,0,0,4.1,0,0,0,0,0.82,0.82,0,2.46,7.39,0,0,9.03,526.99,0,1.64,0.82,0,0,0.82,0,0,1.64,128.05,0,0,0.82,0,2.46
 36-46,0,0,0,1.61,0,80.57,3.22,0,0,24.98,0,0.81,0,0,1.61,0,0,0,6.45,0,0,3.22,1488.88,0,0,0,0,0,3.22,0,0.81,0,190.94,0,0,0,0,1.61
 48-58,0,0,0,5.74,0,273.7,3.44,0.57,1.72,109.02,0,0,1.15,0,2.87,1.15,0.57,0.57,14.35,0,1.15,10.9,2111.6,0.57,0.57,0,0,0,2.87,0,0.57,0,274.85,0,0.57,1.15,0,2.3
 60-70,0,0,0,6.87,0,632.1,4.91,0,0.98,204.16,0.98,0.98,0.98,0,7.85,0,0,0,37.3,0.98,0.98,6.87,2836.6,0,0.98,3.93,0,0,3.93,0,0,0,285.62,0,0,0,0.98,5.89
 72-82,0,0,0,16.69,4.91,877.61,5.89,0,2.94,259.16,0.98,2.94,0.98,0.98,7.85,0.98,0.98,0.98,64.79,0,3.93,16.69,2409,0,0.98,3.93,0,0.98,5.89,0,0,0,136.45,1.96,0.98,2.94,1.96,2.94
 84-94,0,3.19,0,24.43,2.12,505.53,1.06,1.06,2.12,204.97,0,0,4.25,2.12,9.56,1.06,0,0,49.92,0,2.12,14.87,1180.99,1.06,1.06,1.06,0,0,7.43,2.12,0,0,78.59,1.06,2.12,1.06,1.06,3.19
 96-106,0,0,0,24.04,8.74,449.16,6.56,2.19,3.28,203.27,1.09,0,0,0,8.74,0,1.09,2.19,48.09,0,2.19,12.02,989.03,1.09,1.09,2.19,0,0,7.65,0,0,0,31.69,2.19,2.19,1.09,0,2.19
108-118,0,0,0,13.02,3.06,340.85,6.89,0,1.53,171.58,0.77,0,2.3,0,6.13,0.77,1.53,0,29.87,0.77,0.77,18.38,1071.58,0,1.53,0,0,0,4.6,0.77,0,0,19.15,2.3,0,1.53,0,3.83
120,0,1.96,1.96,19.6,0,333.16,5.88,0,1.96,203.82,0,0,1.96,0,0,0,1.96,0,21.56,0,0,27.44,1142.56,1.96,1.96,0,0,0,3.92,0,1.96,0,13.72,0,1.96,1.96,0,1.96
