stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,2266.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.12,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,588.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,533.28,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,7.89,0,0,18.4,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,28.92,0,97.26,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,34.62,0,37.76,3.15,0,9.44,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,37,2,1,0,0,0,1,2,1,0,0,7,0,0,0,8,3,0,3,27,0,1,2,1,0,443,1,12,4,20,11,0,0,2,0,0
 24-34,0,0,1.64,0,22.98,0,2.46,0,2.46,0,1.64,0,0,0,0,5.75,0,0,0,17.24,4.1,0,6.57,51.71,0,0.82,0.82,0,0,462.96,0,0,0.82,4.93,16.42,0,0,3.28,0,0.82
 36-46,0,0,0,0,12.09,1.61,2.42,0.81,3.22,0.81,1.61,0,0,0,0,0.81,0,0,0.81,9.67,7.25,0,3.22,35.45,0.81,2.42,1.61,0,0,365.77,0,0,0.81,0,12.09,0,0,2.42,0,1.61
 48-58,0,0,0,0,6.89,0,6.89,1.15,1.72,1.72,0.57,0.57,0,0,0,1.72,0,0,0,9.75,5.16,0.57,1.15,25.25,0,0,0,0,0,208.29,0,0,0.57,0,9.18,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,16.69,0,9.82,0,3.93,1.96,4.91,0,0,0,0.98,1.96,0,0.98,0,9.82,8.83,1.96,2.94,24.54,0,2.94,0.98,0,0.98,233.6,0,0,0,0,8.83,0.98,0.98,0.98,0,0
 72-82,0,0,4.91,0,23.56,0,9.82,0,4.91,1.96,7.85,6.87,0,0.98,0,5.89,0,0,0,22.58,5.89,3.93,6.87,25.52,0.98,1.96,1.96,0,0,365.18,0,0,0,0,3.93,0.98,2.94,1.96,2.94,1.96
 84-94,0,0,3.19,0,48.85,1.06,4.25,0,21.24,0,8.5,4.25,0,0,3.19,14.87,0,0,0,15.93,9.56,2.12,6.37,15.93,0,1.06,0,0,0,863.44,0,0,1.06,0,3.19,1.06,3.19,5.31,3.19,0
 96-106,0,0,1.09,0,93.98,0,16.39,1.09,28.41,2.19,10.93,14.21,0,1.09,4.37,28.41,0,2.19,0,17.49,14.21,1.09,3.28,32.79,0,6.56,0,0,2.19,991.21,0,0,2.19,0,2.19,3.28,4.37,1.09,8.74,0
108-118,0,0,0.77,0,123.32,0.77,8.43,0,45.96,1.53,3.06,10.72,0,0,1.53,31.4,0.77,2.3,0.77,14.55,21.45,0.77,6.13,36,0,3.83,0.77,0,2.3,911.5,0,0,0,0,1.53,7.66,0,1.53,2.3,0
120,0,0,0,0,96.03,0,7.84,0,48.99,0,5.88,3.92,0,0,0,11.76,0,3.92,1.96,13.72,9.8,3.92,1.96,19.6,0,0,0,0,0,619.29,0,0,0,0,3.92,1.96,1.96,3.92,3.92,0
