stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,0.98,0,0.98,1.96,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,1.96,2.94,0,0,2.94,2.94,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,3.19,0,0,3.19,6.37,0,1.06,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,1.06,4.25
 96-106,0,0,0,0,2.19,1.09,0,0,1.09,2.19,4.37,0,1.09,3.28,10.93,0,1.09,0,0,0,1.09,3.28,0,0,0,0,20.76,1.09,0,3.28,4.37,0
108-118,0,0,0.77,0.77,3.83,0,0.77,0,0,0,13.79,0,0.77,4.6,10.72,0,0,3.06,0,0,0,3.06,0,1.53,1.53,0,7.66,0,0,3.83,3.83,0.77
120,0,0,1.96,1.96,41.16,3.92,1.96,3.92,15.68,1.96,23.52,0,0,21.56,9.8,1.96,1.96,9.8,3.92,1.96,0,27.44,1.96,0,1.96,0,145.02,0,1.96,1.96,7.84,1.96
