stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,6,0,0,0,3,0,0,0,0,0,0,3,0,0,1,138,0,0,0,0,0,0,3,0,0,1,39,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,2.46,0,0,0,0,0,0,6.57,0,0,1.64,150.22,0,0.82,0,0,0,0.82,0,0,0,0,35.3,0,0,1.64,0,0
 36-46,0,0,0,0,0,18.53,0,0,0,6.45,0,0,0,0,0,0,10.47,0,0,1.61,80.57,0,0,0,0,0,0,0,0,0,0,33.84,0,0,0,0,0
 48-58,0,0,0,0,0,59.1,0,0,0,5.74,0,0,0,0,0.57,0,7.46,0,0.57,0.57,40.74,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,419.11,0,0,0.98,20.61,0,0,1.96,0,0,0,8.83,0,0,2.94,65.76,0,0,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0
 72-82,0,1.96,0,13.74,0,1497.03,0,0,2.94,64.79,0.98,1.96,2.94,0.98,0.98,0,29.45,0,0,2.94,164.92,0.98,0,0,0,0,0.98,0,0,0,0,17.67,0,0.98,1.96,0.98,0
 84-94,0,0,0,19.12,5.31,978.14,1.06,3.19,0,57.35,1.06,0,5.31,0,0,1.06,20.18,1.06,1.06,3.19,109.39,0,0,3.19,0,1.06,5.31,0,1.06,0,0,8.5,1.06,2.12,3.19,3.19,0
 96-106,0,0,0,21.86,4.37,1332.18,2.19,7.65,1.09,69.94,5.46,1.09,8.74,1.09,0,2.19,44.81,0,5.46,5.46,114.75,2.19,2.19,2.19,0,0,8.74,0,2.19,1.09,0,2.19,0,1.09,5.46,3.28,4.37
108-118,0,0.77,0,11.49,3.83,977.37,0.77,3.06,1.53,34.47,3.83,0,5.36,0.77,1.53,4.6,29.87,0,2.3,3.06,110.3,3.06,0.77,2.3,0,0.77,3.06,0,0,0,0,3.06,0.77,0,1.53,2.3,0
120,0,0,1.96,19.6,0,636.93,1.96,3.92,0,41.16,0,0,3.92,0,0,0,23.52,1.96,0,3.92,162.66,1.96,1.96,1.96,0,0,9.8,0,0,0,0,1.96,0,0,0,0,1.96
