stage,axial,blastomeres,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,4.93,0,0,0.82,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,3.22,0,0,0.81,0,0,1.61,0,3.22,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,2.87,0,0,0,0,0.57,0.57,0,2.3,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,2.12,0,0,0,1.06,0,1.06,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.56,2.19,0,1.09,0,0,0,0,1.09,3.28,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,3.06,3.83,0.77,0.77,0,0,0,0.77,1.53,3.83,0,1.53,1.53,0,0,0.77,0.77,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0
