stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,16,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,1,0,12,0,0,0,0,0
 24-34,0,0,0,0.82,0,36.12,0,0,0.82,0,0,0,0,0,4.93,0,0,0,170.74,0,0,0,0.82,0,0,0,0,67.31,0,0,0,0,0
 36-46,0,0,0,0.81,0,17.72,0,0,2.42,0,0,0,0,0,8.06,0,0,0.81,356.11,0,0,0.81,0,0,1.61,0,0.81,91.04,0,0,0,0,0
 48-58,0,0,0,0.57,0,32.71,0,0,13.77,0,0,0.57,0,0,13.2,0,0,1.72,511.26,0,0.57,0.57,0,0.57,0,0,0,70,0,0,0,0,0
 60-70,0,0,0,2.94,0,92.26,0,0,46.13,0,0,0,0,0,22.58,0,2.94,0.98,791.11,0,0,0.98,0,0,2.94,0,0,77.54,0,0,0,0,0
 72-82,0,0.98,0,3.93,0,168.85,0.98,0,47.12,0,0,0,0.98,0,24.54,0,0.98,2.94,677.35,0,1.96,5.89,0,0,0,0,0,43.19,0,0,0,0.98,0
 84-94,0,1.06,0,0,0,116.82,2.12,1.06,38.23,0,0,0,0,0,14.87,0,1.06,6.37,307.99,0,0,8.5,0,1.06,1.06,0,0,19.12,1.06,0,0,1.06,1.06
 96-106,0,0,0,6.56,2.19,111.47,0,0,41.53,0,0,0,1.09,1.09,13.11,0,2.19,2.19,272.12,1.09,0,5.46,0,0,1.09,0,0,16.39,0,0,0,1.09,0
108-118,0,0,0,5.36,0,86.55,0,0.77,36,0.77,0,0,1.53,0,11.49,0,0.77,2.3,287.24,0,0,11.49,0,2.3,0.77,0,0.77,10.72,0.77,0,0,0,0
120,0,0,0,7.84,1.96,78.39,0,0,31.36,0,0,0,1.96,0,21.56,1.96,0,1.96,346.88,1.96,3.92,5.88,0,0,1.96,0,0,5.88,0,1.96,1.96,0,0
