stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,224,8,0,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0.82,0,1.64,0.82,0,0,0,2.46,0,3.28,27.91,0,0,0,0,191.26,2.46,3.28,0,0.82,0
 36-46,0,0,0,0,0,1.61,0.81,0,0,1.61,2.42,0,0,0,0.81,0,1.61,36.26,0,0.81,0,0.81,170.8,0,8.06,0,0.81,0
 48-58,0,0,0,0.57,0,8.03,1.72,0.57,0,1.72,1.72,0,0,0,3.44,0,6.89,28.69,0,0,0,1.15,145.17,0,2.87,0,1.72,0
 60-70,0,0,0.98,0,0,3.93,10.8,0.98,0,5.89,2.94,0,0,0,2.94,0.98,1.96,17.67,0,0.98,0.98,0,79.5,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,2.94,25.52,0,0,12.76,0.98,0,0.98,0,3.93,0,4.91,12.76,0,0,0.98,0,50.06,0,0.98,0,1.96,0
 84-94,0,0,0,1.06,0,3.19,28.68,0,1.06,5.31,1.06,0,0,2.12,2.12,1.06,3.19,16.99,0,0,0,1.06,104.08,0,1.06,0,0,0
 96-106,0,0,0,1.09,3.28,9.84,40.44,3.28,0,14.21,5.46,1.09,1.09,0,6.56,0,3.28,13.11,1.09,0,0,1.09,104.91,0,1.09,1.09,0,0
108-118,0,0,0,1.53,0.77,6.89,29.11,0,0,5.36,3.06,0.77,0,0,2.3,0,5.36,5.36,0,0,0,1.53,85.79,0,1.53,0,0,0
120,0,0,0,3.92,0,7.84,23.52,0,0,15.68,1.96,0,0,0,0,0,3.92,11.76,0,0,0,7.84,31.36,0,0,0,0,1.96
