stage,axial,epidermis,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0
 14-21,0,0,0,0,4,0,0,0,0,2,3,1,0,0,2,0,25
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,4.1,0.82,0,0.82,22.16
 36-46,0,0,0.81,0.81,0,0,0,1.61,0,0.81,1.61,0,2.42,0,0,3.22,10.47
 48-58,0,0,1.15,0,0,0,0,2.87,0.57,0,1.15,0,2.3,0.57,0,0.57,3.44
 60-70,0,0,1.96,0,1.96,0,0,1.96,0,0.98,0,0,1.96,0,0,0.98,2.94
 72-82,0,0,0,0,2.94,0,0.98,5.89,0,0,0,0,3.93,3.93,0,0,4.91
 84-94,0,0,1.06,0,1.06,0,0,0,0,0,0,0,2.12,6.37,0,0,3.19
 96-106,0,0,0,0,2.19,1.09,0,2.19,0,0,3.28,0,6.56,6.56,0,1.09,0
108-118,0,0,0,0,0.77,0.77,0.77,2.3,0,0,0.77,0,1.53,6.89,0,0,0.77
120,0,1.96,0,0,1.96,0,1.96,0,0,0,1.96,0,5.88,5.88,0,0,1.96
