stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,1,1,0,0,3,4,0
 24-34,0,0,0.82,0,0,0,3.28,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0.81,1.61,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0
