stage,axial,blastomeres,eye,glial,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,2,0,0,3,2
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,2.46,9.03
 36-46,0,0,0.81,1.61,0.81,0,2.42,0.81,0,0,0,0,4.03
 48-58,0,0,0.57,3.44,0,0,0.57,0,0,0,0.57,0.57,4.59
 60-70,0,0,0.98,2.94,0,0.98,1.96,0.98,0,0,0,0,3.93
 72-82,0,0,0.98,5.89,0,0,0,0.98,0,0,0,0.98,3.93
 84-94,0,0,0,1.06,0,0,1.06,0,2.12,0,0,0,3.19
 96-106,0,0,2.19,2.19,1.09,0,0,1.09,4.37,0,0,0,2.19
108-118,0,0,0,0,0,0,2.3,0.77,2.3,0,0,0.77,1.53
120,0,0,0,0,1.96,0,1.96,1.96,1.96,0,0,0,0
