stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0.82,1.64,0.82,0,0,0,5.75,1.64,0.82,1.64,11.49,0,0,0,0,0,2.46,0,0,0.82,9.85,0,0,0,0,0
 36-46,0,0,0,0,0,8.06,0.81,0,0,0,0,0,0,0,0,0,1.61,4.83,2.42,0,53.98,2.42,1.61,0,0,0,0,0,0,0,29,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,29.84,1.15,0,0,0,0,2.3,0.57,0,0,0,2.87,3.44,5.16,0.57,70,0,0,0,0,0,0.57,0,0,0,24.67,0,0.57,1.72,0,0
 60-70,0,0,0.98,0,0,120.73,0,0,2.94,0,0.98,0.98,0,0,0,0,7.85,1.96,2.94,0,181.58,0,0.98,0,0,0.98,0,0,0,0,31.41,0,1.96,1.96,2.94,0
 72-82,0,0,0.98,0,0.98,133.51,0.98,0,5.89,0,0.98,0.98,0,0,0,0.98,18.65,17.67,6.87,0.98,180.63,0,0,1.96,0,0,0,0,0,0,13.74,0.98,2.94,2.94,11.78,0
 84-94,0,0,3.19,2.12,0,96.65,2.12,0,7.43,3.19,1.06,0,1.06,0,0,0,13.81,18.05,10.62,0,104.08,0,0,2.12,0,1.06,3.19,0,0,0,9.56,6.37,8.5,1.06,8.5,1.06
 96-106,0,0,0,1.09,1.09,66.66,3.28,1.09,7.65,1.09,0,2.19,0,0,5.46,1.09,7.65,13.11,2.19,0,86.33,0,0,3.28,0,0,2.19,0,0,0,2.19,10.93,8.74,2.19,13.11,0
108-118,0,0,1.53,4.6,0.77,62.04,5.36,0,8.43,8.43,0,0.77,0,0.77,3.83,0.77,3.83,5.36,8.43,0,88.09,0,0,2.3,0,1.53,3.06,0,0,0,2.3,16.85,1.53,1.53,6.89,0
120,0,0,3.92,3.92,0,48.99,3.92,0,7.84,0,0,0,0,0,3.92,1.96,5.88,15.68,3.92,0,94.07,0,0,0,0,0,1.96,0,0,0,7.84,11.76,5.88,0,7.84,0
