stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,neural,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,40,0,0,0,7,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0.82,11.49,0,0,0.82,0,1.64,0,100.97,0,0.82,0,20.52,0,0,17.24,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,23.36,0,0,0,0.81,0,0,95.07,0,0.81,0,11.28,0,0,28.2,0
 48-58,0,0,0,0,0,4.02,0,0.57,0,0,1.15,21.23,0,0,0,0,0,0,65.99,0.57,0.57,0,12.05,0,0,39.02,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,23.56,0,0,0,2.94,0,0,62.82,0,0,0,7.85,0,0,24.54,0
 72-82,0,1.96,0,0.98,0,2.94,0,0,0,2.94,0,52.03,0,0.98,0,4.91,1.96,0.98,71.66,0,0,0,2.94,0.98,0.98,28.47,0
 84-94,0,0,1.06,0,0,5.31,0,0,3.19,1.06,0,60.54,0,1.06,0,2.12,0,1.06,47.79,0,0,0,2.12,0,0,23.36,0
 96-106,0,0,1.09,0,0,2.19,1.09,0,1.09,0,0,103.82,1.09,0,0,3.28,0,1.09,48.09,1.09,1.09,1.09,0,0,0,21.86,1.09
108-118,0,0.77,0.77,1.53,1.53,2.3,0,0,7.66,0.77,0,63.57,0,0,0,4.6,0,1.53,67.4,0,0,0,0,0.77,0,20.68,0
120,0,0,0,1.96,0,0,0,0,5.88,0,0,80.35,0,0,0,3.92,0,0,25.48,0,0,0,1.96,0,0,33.32,0
