stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,1304.62,2793.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0
  5-6,1998.26,2304.74,6.13,0,0,0,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0,0,165.5,98.07,0,0,12.26,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,678.21,184.01,162.98,0,0,0,872.73,0,0,0,0,536.26,0,0,0,0,0,0,0,0,0,5814.71,431.11,0,0,1419.51,0,2.63,31.54,0,0,0,0,0,0,0,0,0
 10-12,3.15,119.58,37.76,0,0,0,1142.35,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,3735.45,72.38,0,0,1110.88,0,0,0,3.15,62.94,0,6.29,12.59,0,0,0,0
 14-21,0,0,4,17,4,0,4,0,0,38,2,0,0,0,0,0,0,34,0,0,21,437,26,0,1,9,0,2,1,27,46,0,27,697,0,0,1,0
 24-34,0,0,0,4.1,0,0,6.57,0,0,11.49,2.46,0,0,0,0,0.82,0,51.71,0,0,9.03,139.55,3.28,0.82,0,0,0,0.82,0,0,30.37,0,2.46,49.25,0,0,0,0
 36-46,0,0,0,0,0,0,12.09,0,0,6.45,0,0,0,0,2.42,0,0,53.17,0,0,8.86,74.93,3.22,0,0,0,0,0.81,0,0,13.7,2.42,0,16.92,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,8.61,0,1.15,8.03,0.57,0,0,1.15,0,0.57,0.57,90.66,0,0,10.9,60.82,2.3,0,0,0,0,0.57,0,0,5.74,0,0,8.03,0,0,0,0
 60-70,0,0,0,0,0,0,17.67,1.96,0,11.78,0.98,0,0.98,3.93,1.96,0,0,176.67,0,0,6.87,46.13,0,0,0,0,0,0,0,0,4.91,0.98,0,2.94,0,0,0,0
 72-82,0,0,0,2.94,0,0,17.67,0,0,23.56,0,0,0,9.82,0.98,0,0,232.65,0,3.93,9.82,21.6,0,0,0.98,0,0,0.98,0,0,0.98,0.98,0,0.98,0,1.96,0,1.96
 84-94,0,0,0,6.37,0,0,9.56,2.12,0,14.87,0,0,0,15.93,0,1.06,0,128.51,1.06,2.12,3.19,9.56,3.19,0,0,0,0,0,0,0,8.5,1.06,0,1.06,1.06,2.12,0,3.19
 96-106,0,0,0,7.65,1.09,1.09,10.93,5.46,0,17.49,1.09,0,0,22.95,0,2.19,0,135.51,1.09,1.09,4.37,20.76,0,0,1.09,0,1.09,1.09,0,0,3.28,2.19,0,0,0,2.19,0,1.09
108-118,0,0,0,3.83,0,0,13.02,3.06,0,12.26,0,0,0,15.32,0,0,0,130.21,0.77,0,10.72,25.28,0.77,0,0.77,0,0,0,0,0,8.43,1.53,0,1.53,0,0.77,0,1.53
120,0,0,0,3.92,1.96,0,9.8,3.92,0,17.64,0,0,0,11.76,0,0,0,74.47,0,0,0,23.52,0,0,0,0,0,3.92,0,1.96,11.76,0,0,0,0,0,0,3.92
