stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,73.56,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,99.89,81.49,26.29,0,0,0,1608.77,0,0,0,0,0,649.29,0,0,0,0,0,0,0,0,0,0,1448.42,15.77,0,0,84.12,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,47.2,31.47,0,3.15,0,1623.84,0,0,0,0,0,147.91,0,0,0,0,0,0,0,0,0,0,2215.47,25.18,0,0,103.85,0,9.44,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,73,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,105,0,0,0,1,0,1,0,2,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,5.75,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,136.96,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,7.25,0.81,0,0,0,0,0,0,0,0.81,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,648.4,0,0,1.15,5.16,0.57,0,0,0.57,0,0.57,0,0,8.03,0,0,1.72,48.2,0.57,0,0.57,0,0.57,1.15,0,0,0,0.57,0,9.18,0,0,0.57,0,1.15
 60-70,0.98,0,0,0,0,0,1085.56,0,0,0.98,2.94,0,0,0,0,0,0.98,0,0,5.89,0,0,0.98,41.22,0,1.96,0,0,0,0.98,0,0,0,0,0,7.85,0,0,0,0,0.98
 72-82,0,0,0,9.82,0,0,937.49,0.98,0,0,5.89,0.98,0,0,0,0,0.98,0.98,0,9.82,0,0.98,0.98,34.36,0,0,0.98,0,0,1.96,0,0,0,0,0,2.94,0.98,0,2.94,0.98,0.98
 84-94,0,0,0,13.81,4.25,0,979.2,0,1.06,0,10.62,1.06,0,0,1.06,0,0,0,1.06,18.05,1.06,4.25,1.06,19.12,0,1.06,1.06,0,0,0,0,0,0,0,0,2.12,0,1.06,1.06,0,1.06
 96-106,0,0,0,3.28,3.28,1.09,687.4,0,1.09,0,7.65,0,0,1.09,4.37,0,1.09,0,1.09,8.74,0,1.09,1.09,22.95,0,0,2.19,0,0,3.28,0,0,0,0,0,2.19,2.19,1.09,2.19,0,1.09
108-118,0,0,0,2.3,2.3,0.77,461.11,0,0.77,0.77,2.3,0,0,0,0,0.77,0,0,1.53,3.83,0,0,1.53,32.17,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,3.92,1.96,0,423.31,0,0,0,3.92,1.96,0,0,0,0,0,0,0,1.96,0,0,3.92,35.28,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0
