stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.24,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,21.03,105.15,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,15.73,50.35,0,0,0,0,0,0,0,0
 14-21,0,1,5,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,11,1,0,0,0,342,1,0,0,0,2,0,0,0
 24-34,0,0,4.93,0,1.64,0,0.82,0,0,0,0.82,0,0,0,0.82,6.57,0,0,29.55,0.82,0,0,0,748.62,0,0,0,0.82,1.64,0,1.64,0
 36-46,0,0,3.22,0,0.81,3.22,3.22,0,0,1.61,0.81,0.81,0,0,3.22,3.22,0,0.81,22.56,0,0,0,0,650.98,0,1.61,0,0,10.47,0,0,1.61
 48-58,0,0,6.89,0,7.46,5.16,3.44,0,0,0.57,0,0,0,0,4.02,2.3,0,0.57,30.99,0,0,0,0,442.98,0,0,0,0,5.16,0,0,0
 60-70,0,0,10.8,0,2.94,5.89,0.98,0,0,0,0,1.96,0,0,0.98,2.94,0,0,48.09,0,0.98,0,0,513.34,0,0,0,0,5.89,0,0,0
 72-82,0,0,31.41,0,7.85,6.87,1.96,0,0,0,0,3.93,0,0.98,2.94,1.96,0,0.98,19.63,0,0,0.98,0,509.48,0,0,0,0,0,0.98,0,0
 84-94,0,0,39.3,0,5.31,33.99,2.12,0,1.06,0,0,13.81,0,0,0,6.37,1.06,0,20.18,0,0,0,0,1290.38,0,0,0,0,2.12,2.12,0,0
 96-106,0,0,44.81,0,5.46,24.04,2.19,1.09,1.09,0,0,12.02,1.09,0,0,10.93,0,0,18.58,0,0,0,0,1016.35,0,1.09,1.09,0,1.09,0,0,0
108-118,0,0,39.83,0.77,1.53,37.53,1.53,1.53,0,0,0,16.09,0,0,3.06,13.79,0,0,13.02,0,0,0,0,721.54,0,0,0,0,0,0,0.77,0
120,0,0,25.48,1.96,7.84,31.36,1.96,0,0,0,1.96,3.92,0,0,0,5.88,0,0,7.84,0,0,0,0,493.87,0,0,0,0,0,0,0,0
