stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,1.64,85.37,0,2.46,0,0,0,0,0,0,0,27.91,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,196.58,0.81,0.81,0,0,0,2.42,0,0,0,61.23,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,0,16.64,0,0,3.44,0,0,0.57,2.3,0,0.57,0,3.44,0,0.57,0.57,341.41,0,2.87,0,0,0,0,0,0,0.57,79.76,0,0,3.44,0,1.15
 60-70,0,0,0,0,0,0,0,38.28,0,0,8.83,0,0,0,0.98,0,0,0,17.67,0.98,0,0,664.49,0,2.94,0,0,0,0,0,0,0,82.45,0,0,7.85,0,0
 72-82,0,0,0,0,5.89,0.98,0,74.61,0.98,0,24.54,0.98,0,0,0,0,0,0.98,9.82,0,1.96,0.98,745.08,0,5.89,0,0,0,0.98,0,0.98,0.98,82.46,0.98,0.98,13.74,0,2.94
 84-94,0,0,1.06,0,8.5,1.06,0,82.84,0,3.19,14.87,0,0,0,3.19,2.12,0,0,4.25,0,0,1.06,368.53,3.19,5.31,1.06,0,0,1.06,0,0,1.06,37.17,0,0,7.43,0,1.06
 96-106,0,0,1.09,0,2.19,6.56,0,76.5,2.19,0,13.11,1.09,1.09,2.19,1.09,0,0,0,6.56,0,1.09,1.09,330.04,1.09,2.19,1.09,0,1.09,0,0,0,1.09,18.58,0,1.09,12.02,1.09,0
108-118,0,0,0,0,5.36,2.3,0.77,60.51,1.53,0,18.38,0,0.77,0,0,0,0,0,5.36,0,0,0.77,348.51,0,3.83,1.53,0,0,0.77,0,0,1.53,13.79,0,0,9.19,0.77,0
120,0,0,0,0,1.96,1.96,0,48.99,1.96,0,9.8,0,0,0,1.96,0,0,1.96,3.92,0,0,5.88,427.23,0,3.92,0,0,0,0,0,0,0,23.52,0,0,3.92,0,0
