stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,42.91,0,0,0,0,0,0,0,0,0,0,0,36.78,0,6.13,0,6.13,0,0,0,0
  7-9,13.14,2.63,5.26,0,0,0,0,5.26,0,0,0,0,0,13.14,0,39.43,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,1,9,0,1,1,2,0,0,0,3,5,0,1,1
 24-34,0,0,0,0.82,0,0,0,0,0,26.27,0,0.82,0,7.39,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0.81,1.61,0,0,24.98,0,0.81,0.81,2.42,0.81,0,0,0.81,0,0,1.61,0
 48-58,0,0,0,1.72,0,0.57,0.57,0,0,25.25,0.57,0,0,3.44,0,0,0,1.72,0,0,0.57,1.15
 60-70,0,0,0,1.96,0,0.98,0.98,0,0,41.22,0,1.96,0,4.91,0.98,0,0,0,0,0,0.98,1.96
 72-82,0,0,0,0.98,0,3.93,1.96,0,0,48.1,0,1.96,0,1.96,0,0,0.98,1.96,0,0,0,0
 84-94,0,0,0,3.19,0,2.12,1.06,0,1.06,87.09,0,0,0,3.19,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,4.37,0,0,0,0,0,71.04,0,1.09,1.09,2.19,1.09,0,0,3.28,0,0,0,1.09
108-118,0,0,0,2.3,0,4.6,0,0,0,58.98,0,1.53,0.77,0,0,0,0,2.3,0,0,0,1.53
120,0,0,0,0,0,0,1.96,0,0,62.71,0,0,1.96,1.96,0,0,0,3.92,0,0,0,0
