stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,3834.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,747.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,21.03,70.98,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,302.11,6.29,0,0,18.88,40.91,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,1163,1,0,6,0,11,0,3,8,2,0,2,25,0,0,2,0,3,7,0,2,29,2,1,1,0,613,6,6,1,0,5,13,0,0,0,0,0
 24-34,0,0,0,4.93,627.95,0.82,0,7.39,0,51.71,0,2.46,2.46,4.93,0.82,8.21,18.88,0,2.46,0.82,0,5.75,17.24,0,4.93,62.39,0.82,8.21,1.64,0,723.17,0,0,5.75,0,0.82,4.93,0,0,2.46,0,0
 36-46,0,0,0,0.81,200.61,0,0,5.64,0,44.31,0,2.42,3.22,0,0.81,6.45,6.45,0,8.06,0.81,0,4.03,9.67,0,1.61,49.15,0.81,12.09,1.61,0,621.17,0.81,0,5.64,0,0,6.45,0,0,1.61,0,0
 48-58,0,0,0,1.15,138.29,0,0,14.35,0.57,52.79,1.15,2.3,2.3,4.59,0,10.9,3.44,0.57,5.16,1.72,0,15.49,8.61,0,0.57,40.17,0,4.59,4.59,0,547.98,0.57,0,0.57,0,0,8.61,0,0,1.72,0,0.57
 60-70,0,0,0,0,156.06,0,0,7.85,0,46.13,0,3.93,10.8,0,0,11.78,12.76,0,5.89,1.96,0,22.58,12.76,0,0.98,26.5,0,2.94,0.98,0,588.91,0,0,2.94,0,0,4.91,4.91,0,0.98,0,0
 72-82,0,0,6.87,0.98,244.43,0,0,20.61,0,67.73,0.98,1.96,30.43,1.96,0,18.65,25.52,0.98,12.76,1.96,0,49.08,15.71,0,3.93,42.21,0,9.82,5.89,0,821.65,0,0,0.98,0,0,3.93,10.8,0,5.89,0,0
 84-94,0,0,6.37,0,494.91,2.12,0,15.93,0,163.55,1.06,8.5,90.27,5.31,0,36.11,59.47,1.06,10.62,4.25,1.06,48.85,39.3,4.25,1.06,15.93,0,24.43,7.43,0,2600.93,0,0,3.19,0,0,0,30.8,0,8.5,2.12,3.19
 96-106,0,0,4.37,3.28,532.22,7.65,1.09,33.88,0,163.93,1.09,7.65,99.45,0,0,40.44,57.92,1.09,15.3,6.56,0,42.62,49.18,0,3.28,56.83,1.09,17.49,6.56,0,2685.12,0,0,2.19,1.09,0,1.09,43.71,2.19,3.28,2.19,2.19
108-118,0.77,0,2.3,3.06,453.45,3.06,0,10.72,0,223.66,1.53,8.43,94.98,0,0,35.23,57.45,0,9.19,6.13,0.77,34.47,52.09,2.3,2.3,41.36,0,6.13,2.3,0,2237.38,0,0,2.3,0,0,0.77,31.4,0.77,7.66,2.3,0
120,0,0,0,0,317.49,1.96,0,3.92,0,117.59,3.92,1.96,62.71,0,0,54.87,25.48,0,7.84,0,0,21.56,33.32,0,0,27.44,0,9.8,0,0,1283.66,0,0,3.92,0,0,0,19.6,0,3.92,0,0
