stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,3,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0.82,0,13.13,0,0.82,1.64,0,1.64,1.64,0,0
 36-46,0,0.81,0,1.61,0.81,0,0,0,0,0,0.81,6.45,0,0,1.61,0,0,1.61,0,0
 48-58,0,0.57,0,5.16,0,1.72,0,0.57,0,0.57,0,2.3,2.3,0,0.57,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,4.91,0,0,0,0,0
 72-82,0,0,0,4.91,0,4.91,0.98,0,0,1.96,0,1.96,0.98,0,0,0,0,0,0.98,0
 84-94,1.06,0,0,0,1.06,3.19,0,0,0,0,0,1.06,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,1.09
108-118,0,0,0.77,2.3,0,0.77,0.77,0,0.77,1.53,0,1.53,0.77,0,2.3,0,0,0.77,0,0.77
120,0,0,0,1.96,1.96,0,0,0,0,5.88,0,1.96,0,0,1.96,0,0,0,0,0
