stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,neural,notochord,olfactory,otic,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,3.22,0,0.81,0,0,0
 48-58,0,0,0,0,1.15,0.57,2.3,0,0,0.57,1.15,0.57
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,7.85,0,0.98,0,0,0
 84-94,0,0,1.06,1.06,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.28,0,1.09,0,1.09,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,3.92,0,3.92,0,0,0,0,0
