stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,165.5,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,36.8,0,2.63,10.51,0,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,189.27,5.26,0,0,76.23,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,31.47,0,6.29,12.59,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,484.63,9.44,0,0,132.17,0,0,6.29,0,31.47,0,15.73,0,0,0,0,0
 14-21,0,0,1,1,263,8,43,0,0,0,1,1,1,1,0,4,0,0,0,15,68,0,0,53,219,7,0,12,3,0,9,1,60,3,107,237,39,0,4,0,8
 24-34,0,0,0,1.64,23.8,0,137.08,3.28,3.28,2.46,7.39,0,0,5.75,7.39,1.64,2.46,0.82,0,36.12,145.29,0,0.82,51.71,224.91,13.95,0.82,27.91,0.82,0,10.67,0,1.64,6.57,24.63,48.43,32.01,0,22.16,0,10.67
 36-46,0,0,0,0,7.25,0.81,62.04,8.86,1.61,2.42,11.28,0.81,0,2.42,29,1.61,2.42,0,0,25.78,90.23,0,3.22,42.7,77.34,12.89,0,13.7,0,0.81,8.06,1.61,0,0.81,20.14,0,13.7,0.81,29,0,4.83
 48-58,1.15,0,0,0,4.02,0,65.41,14.92,1.15,4.59,9.18,0,0.57,0.57,39.59,1.15,6.89,0.57,1.15,10.33,91.23,0.57,4.59,32.71,51.64,8.03,0,9.75,0,0,6.31,0.57,0,0,26.4,0,11.48,0,20.66,0,10.33
 60-70,0,0,0,0,2.94,0,37.3,26.5,0.98,2.94,16.69,0,0,2.94,52.02,2.94,12.76,0,0,8.83,61.84,0,2.94,22.58,28.46,1.96,0,13.74,0.98,0,2.94,0,0,1.96,26.5,0,5.89,0.98,12.76,0,9.82
 72-82,0,0,0,0,2.94,0.98,43.19,29.45,0.98,3.93,39.27,0.98,0,0.98,70.68,10.8,9.82,0,0,2.94,84.42,0,5.89,21.6,41.23,2.94,0,16.69,0,0,1.96,0,0,1.96,26.5,0,2.94,1.96,17.67,0,11.78
 84-94,0,0,0,0,4.25,2.12,87.09,35.05,2.12,4.25,20.18,2.12,0,0,87.09,10.62,11.68,0,0,5.31,36.11,1.06,3.19,9.56,21.24,0,0,11.68,0,1.06,8.5,0,0,7.43,42.48,0,0,1.06,12.74,0,23.36
 96-106,0,0,0,0,6.56,3.28,72.13,52.46,1.09,3.28,28.41,0,0,3.28,107.1,15.3,16.39,1.09,2.19,4.37,33.88,1.09,1.09,12.02,26.23,4.37,2.19,17.49,0,0,9.84,0,0,3.28,45.9,0,1.09,0,12.02,0,15.3
108-118,0,0,0,0,8.43,1.53,85.79,49.02,1.53,2.3,18.38,0.77,0,0,81.96,14.55,26.04,0,2.3,7.66,22.98,0,1.53,12.26,24.51,3.83,0.77,17.62,0,0,3.06,0,0,3.06,42.89,0,0,0,8.43,0.77,13.79
120,0,0,0,1.96,3.92,0,23.52,29.4,0,3.92,9.8,1.96,0,0,103.87,5.88,5.88,0,0,5.88,15.68,0,0,7.84,11.76,0,0,13.72,0,0,0,0,0,0,15.68,0,0,1.96,0,1.96,1.96
