stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,12.31,0,0,0,0,3.28,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,8.06,1.61,0,0,0,4.83,0
 48-58,0,0,0,0,0,0,0.57,0,0,6.89,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,2.94,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,0.98,0,0,0,9.82,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,3.19,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,4.37,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0.77,0,6.13,3.06,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
