stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,6.57,0.82,0.82,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,2.42,0.81,0.81,16.92,0,0,0,0,0,0,0,5.64,0
 48-58,0,0,0,0,1.15,1.72,0,0,0,0,0.57,0.57,0,0,5.74,0,0,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,4.91,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,1.96,1.96,0,0,0.98,0,0,0.98,0,0,10.8,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,2.12,3.19,2.12,0,0,0,0,1.06,0,1.06,6.37,0,0,2.12,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,3.28,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,2.3,0,0,0,0,0.77,0,1.53,0,0,2.3,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0
