stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,0,1,0,0,0,6,0,0,0,0,5,0,2,20,0,0,3,0,19,0,1,28,0,0,0,0
 24-34,0.82,0,4.1,6.57,0,2.46,0,0,0,4.93,0,0,0,0,10.67,0,5.75,22.98,0,0,0,0.82,21.34,0,0.82,19.7,0,0,0,0
 36-46,0,0,0,1.61,0,7.25,0,0,0,6.45,1.61,0.81,0,0,24.98,0,6.45,24.17,0,0,0.81,0,7.25,1.61,0,20.14,0,0,0,0
 48-58,0,0,0,2.3,0,4.02,0.57,0,1.15,18.94,0.57,0,0,0.57,20.08,0,4.02,13.2,0.57,0,1.15,1.72,7.46,0,0,11.48,0,0,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,38.28,2.94,0,0.98,0,18.65,0,0.98,18.65,0,0,0.98,0,12.76,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,0,0,8.83,0,0,0.98,62.83,6.87,0,2.94,1.96,49.08,0.98,6.87,21.6,0.98,0,7.85,0,32.39,0,0,5.89,0,1.96,0.98,0.98
 84-94,0,0,0,1.06,1.06,4.25,0,2.12,0,44.61,13.81,0,3.19,8.5,32.92,1.06,3.19,6.37,0,0,3.19,0,46.73,0,0,3.19,1.06,2.12,1.06,0
 96-106,0,0,0,1.09,0,13.11,0,0,0,49.18,5.46,0,4.37,3.28,31.69,0,4.37,8.74,2.19,1.09,8.74,1.09,50.27,0,0,3.28,0,0,1.09,0
108-118,0,0,0,1.53,0,7.66,0,0,0,37.53,4.6,0.77,1.53,10.72,39.06,0,0.77,9.19,0,0.77,9.19,0,30.64,0,0,2.3,0,0,0.77,0
120,0,0,0,1.96,1.96,5.88,0,0,0,19.6,7.84,0,0,13.72,23.52,0,1.96,11.76,3.92,1.96,5.88,0,29.4,0,0,1.96,0,0,0,0
