stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,22,0,3,0,0,0,0,4,0,3,6,0,0,0,0,0
 24-34,0,0.82,0.82,0,4.1,0,0,0,0.82,0,0,0,0.82,0,0,0,0,4.93,5.75,0,0,3.28,31.19,0.82,34.48,4.93,0,0,0.82,0,0,0.82,6.57,0,0,1.64,0,0
 36-46,0,0,0.81,0,19.34,0,0,0,2.42,0,0,0,0,0,0,0.81,0,4.03,8.06,0,0,3.22,53.98,0,56.4,0.81,0,0.81,0,0,0,0,14.5,0,0,0.81,0,0.81
 48-58,0,0,1.15,0.57,35.58,0.57,0,0,4.02,0,0,0,1.15,0,0,0,0,1.15,6.31,0,0.57,2.87,70.58,0.57,50.49,0,0,1.72,0,0,0,0,13.77,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,106.99,3.93,0,0.98,19.63,0,0,0,1.96,0,0,1.96,0,0.98,19.63,0.98,0,0.98,115.82,0,56.93,0,0,1.96,0,0,0,0,14.72,0,0,3.93,0,1.96
 72-82,0,0,1.96,3.93,80.5,0,0.98,0,45.16,0.98,0.98,0,0.98,0.98,1.96,0,0,1.96,13.74,0,0,1.96,130.56,0,109.95,0,0,0.98,0,0,0.98,0,7.85,0.98,0,2.94,0,0
 84-94,0,0,5.31,2.12,43.54,1.06,0,1.06,27.61,1.06,0,0,0,0,0,1.06,0,1.06,12.74,0,0,3.19,52.04,0,99.83,1.06,0,3.19,0,0,0,0,1.06,0,0,0,2.12,0
 96-106,1.09,0,2.19,1.09,42.62,3.28,0,1.09,34.97,3.28,0,1.09,0,2.19,1.09,1.09,0,0,5.46,0,0,0,60.11,0,169.39,1.09,1.09,2.19,0,0,0,0,5.46,0,0,0,0,0
108-118,0.77,0.77,2.3,0.77,36.77,0,0,0.77,26.04,1.53,0,0,1.53,0,0.77,0.77,0.77,0.77,12.26,0,0,0,55.15,0,117.19,3.83,0,5.36,0,0,0,0,1.53,1.53,0,0.77,0,0
120,0,0,3.92,1.96,21.56,0,0,0,7.84,0,0,0,1.96,1.96,0,0,0,1.96,3.92,1.96,1.96,3.92,50.95,0,74.47,1.96,0,3.92,0,0,1.96,0,1.96,0,1.96,0,0,0
