stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,0,2,0,0,1,1,1,0,0,0,0,0,4,0,1,8,0,0,1,0,0,0,0,0,2,3,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0.82,0,0,0.82,0.82,0,0,0,0,0.82,0,6.57,0,2.46,42.68,0,0.82,0,0,0,1.64,0,0,0,13.13,0,0,0,0
 36-46,0,0,0,0,2.42,0.81,2.42,0,0,0,0,0,0,0,0,0,0,3.22,0,2.42,25.78,0,0,0,0,0,1.61,0.81,0,0,15.31,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,4.02,1.15,0.57,5.74,0,0,0,0.57,0,0.57,0.57,12.62,0,1.15,30.41,0,0.57,0,0,0,0.57,0,0,0,7.46,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,5.89,0.98,0,1.96,0,0,0,0,0,0,0,15.7,0,1.96,18.65,0,0,1.96,0,0,0.98,0,0,0,2.94,0,1.96,0,0.98
 72-82,0,0,0,0,1.96,0,8.83,0,0.98,4.91,0.98,0,0,0.98,0.98,0,0,22.58,0,4.91,26.5,0,0,0.98,0,0,0,0.98,0,0,5.89,0,0,0.98,0
 84-94,0,0,0,0,0,0,3.19,0,2.12,4.25,0,0,0,0,0,0,0,11.68,0,0,11.68,0,1.06,0,0,1.06,1.06,0,0,0,2.12,0,2.12,0,0
 96-106,0,0,1.09,0,0,0,3.28,0,3.28,3.28,0,1.09,0,0,1.09,0,0,10.93,3.28,0,14.21,0,0,1.09,0,1.09,3.28,0,0,0,1.09,0,1.09,2.19,0
108-118,0,0,0,0,3.06,0,4.6,0,0,2.3,1.53,0,0.77,0.77,0,0,1.53,3.83,0,0.77,12.26,0.77,0,0.77,0,0,0.77,0,1.53,0,0,1.53,0,0,0
120,0,0,0,0,3.92,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,7.84,0,1.96,13.72,1.96,0,0,0,0,3.92,0,0,0,1.96,0,1.96,3.92,0
