stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,9,8,0,6,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,3,58,1,0,11,0,0,14,0,0,0,10,0,0,3,0,1
 24-34,0,0,0.82,14.78,2.46,0,13.95,0,0,0.82,8.21,0,0.82,2.46,0.82,0.82,2.46,0,3.28,55.82,0,0.82,14.78,105.89,2.46,2.46,12.31,0,0,16.42,0,0.82,1.64,38.58,0,0,24.63,0,3.28
 36-46,0,0,0,2.42,0.81,0,12.89,0,2.42,1.61,35.45,0,0,3.22,0,0.81,1.61,0.81,0,74.12,0,0,23.36,124.07,4.83,0,5.64,0,0,9.67,0,0,0,53.98,0,0,19.34,0,1.61
 48-58,0,0,0.57,4.59,0,0,34.43,0,0.57,1.72,46.48,0,0.57,1.72,0,0,0.57,0,0,123.37,0,1.72,22.38,89.51,1.15,2.3,9.18,0,1.15,5.74,0,0,0,36.15,0,1.15,16.07,0,1.15
 60-70,0,0,0,1.96,0.98,0,70.67,0,0,3.93,56.93,0,0,3.93,0,0,1.96,0,0,180.6,0,8.83,20.61,127.6,2.94,0.98,3.93,0,4.91,5.89,0.98,0,0,23.56,0,7.85,16.69,0.98,0.98
 72-82,0,0,0,8.83,0.98,0,79.51,0,1.96,4.91,84.42,0,1.96,3.93,0,0,0.98,0,0,214,0,9.82,17.67,129.58,3.93,0.98,17.67,0,8.83,5.89,0,0,0,17.67,0,7.85,42.21,2.94,2.94
 84-94,0,1.06,0,13.81,2.12,0,58.41,0,1.06,6.37,33.99,0,3.19,3.19,3.19,2.12,1.06,0,0,134.88,1.06,7.43,19.12,64.78,6.37,5.31,16.99,0,3.19,9.56,1.06,0,0,7.43,1.06,3.19,16.99,4.25,1.06
 96-106,0,0,0,17.49,2.19,0,54.64,1.09,1.09,6.56,50.27,2.19,3.28,9.84,3.28,2.19,2.19,1.09,1.09,98.36,1.09,2.19,12.02,60.11,4.37,3.28,16.39,0,12.02,12.02,0,0,0,3.28,0,4.37,33.88,5.46,1.09
108-118,0,0.77,0,19.92,0,1.53,35.23,0.77,0.77,5.36,36.77,1.53,1.53,9.19,5.36,3.83,2.3,0.77,1.53,101.11,0,3.83,14.55,59.75,6.13,1.53,23.74,0,9.96,4.6,0,0,0,0,0,1.53,32.94,2.3,4.6
120,0,0,0,33.32,0,1.96,39.2,0,1.96,1.96,47.03,1.96,1.96,5.88,5.88,3.92,3.92,0,0,94.07,0,5.88,9.8,62.71,9.8,0,15.68,0,21.56,3.92,0,0,0,5.88,0,1.96,27.44,1.96,1.96
