stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,67,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,15,5,0,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,52.53,0,3.28,0,16.42,1.64,0.82,0,0.82,0,1.64,0,0,31.19,0,0.82,72.24,24.63,0,3.28,0,0,0.82,0,0.82,15.6,0,0,0,0,0.82
 36-46,0,0,20.95,0.81,1.61,0,11.28,4.83,2.42,0,0,0,0,0,0,95.87,0,2.42,65.26,67.68,0.81,5.64,0.81,0.81,0,0,0,25.78,0,0,0,0,0
 48-58,0,0.57,24.67,0,9.18,0,13.77,2.87,2.3,0,4.59,0,0,0.57,0.57,92.96,0,4.59,33.28,101.56,0,6.31,0,1.15,0.57,0,0,19.51,0,0,0,1.15,0.57
 60-70,0,0,36.32,0,31.41,0,15.7,0,4.91,0.98,0.98,0,0.98,0,0,99.13,0,2.94,19.63,199.25,0,4.91,0,1.96,0.98,0,0,24.54,0.98,4.91,0,4.91,0
 72-82,0,0,44.17,0.98,60.86,0,10.8,4.91,3.93,0,10.8,0.98,0.98,1.96,0,147.25,0,13.74,33.38,300.39,0,10.8,0.98,4.91,0,0,0,18.65,0,11.78,0.98,12.76,0
 84-94,1.06,1.06,70.09,1.06,31.86,0,21.24,3.19,9.56,0,6.37,1.06,1.06,0,0,90.27,0,19.12,24.43,129.57,0,8.5,1.06,0,3.19,0,0,8.5,4.25,9.56,0,13.81,0
 96-106,0,1.09,69.94,2.19,32.79,1.09,20.76,1.09,3.28,2.19,13.11,1.09,1.09,2.19,0,83.06,0,16.39,21.86,143.16,0,18.58,0,6.56,3.28,0,0,8.74,3.28,10.93,0,18.58,2.19
108-118,0,0,77.36,1.53,28.34,0.77,26.04,2.3,7.66,3.06,4.6,0,0.77,1.53,0,86.55,0.77,9.96,19.15,135.58,0,11.49,2.3,4.6,4.6,0.77,0,3.83,6.13,2.3,0,13.79,0
120,0,1.96,47.03,0,27.44,0,23.52,0,1.96,0,7.84,0,0,0,0,47.03,1.96,11.76,15.68,164.62,0,15.68,0,1.96,3.92,0,0,5.88,0,9.8,1.96,9.8,0
