stage,blastomeres,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,1,0,0,0,6,0,0,0,0,0,2,0
 24-34,0,0,4.1,0,0,0,0,1.64,0,13.13,0,0,0,2.46,0.82,3.28,0
 36-46,0,0,4.83,0,0,0,0,0.81,0,7.25,0,0,0,0.81,0,1.61,0
 48-58,0,0,1.72,0,0,0.57,0,1.72,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0.98,3.93,0,0,1.96,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,2.12,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0.77,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0
