stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,3,0,0,1,0,0,0,0,0,1,0,2,0,1,6,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,4.1,0,0,2.46,0,0,0,0,0,0.82,0,5.75,0,3.28,9.85,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,3.22,0,0,1.61,0,0,0.81,2.42,0,0.81,0,8.86,0,1.61,8.06,0,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0.57,0,0,1.72,0.57,0,1.72,4.02,0,1.72,0,3.44,1.72,3.44,5.16,0.57,0,0,0,0,0,2.3,0,0,0.57,0
 60-70,0,0.98,0,0,2.94,0.98,0,3.93,3.93,0,0.98,0,7.85,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.98,1.96,0,0,0,0,0,4.91,14.72,0.98,1.96,0,25.52,0,0,3.93,0,0.98,0,0,0,0,0.98,0,1.96,0,0.98
 84-94,0,2.12,1.06,0,3.19,0,0,1.06,33.99,0,0,1.06,14.87,0,3.19,7.43,0,1.06,1.06,1.06,0,0,0,0,0,0,1.06
 96-106,0,2.19,1.09,1.09,0,0,0,3.28,20.76,0,0,0,18.58,1.09,2.19,4.37,0,4.37,0,0,0,0,1.09,1.09,0,0,1.09
108-118,0,6.13,0,0,2.3,0.77,0.77,0,17.62,0,0,0,10.72,0.77,2.3,9.96,0,0,0,0,0,0.77,0,0,0,0,0
120,0,1.96,0,1.96,1.96,0,0,5.88,21.56,0,0,0,5.88,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0
