stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,52.71,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,49.04,533.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,65.72,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,75.53,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,2,0,0,24,0,0,1,0,0,0,4,0,0,0,19,0,1,1,0,0,0,2,20,0,4,53,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,36.12,0,0,0,0,0,0,2.46,0,0.82,1.64,27.09,0.82,18.88,0.82,0,1.64,0,0,24.63,0.82,2.46,80.44,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,16.92,0,0,0,0,0,0,0.81,0,0,0.81,16.92,0,19.34,0,0,0.81,0.81,0,12.09,0,0,40.28,0,0,0
 48-58,0,0,0,0,1.15,0,2.3,0,19.51,0,0,0,0,0,0,0,0,0,0,9.75,0,12.05,0,0,0,0,0,3.44,0,0,35,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,19.63,0.98,0,0,0,0,0,0.98,0,0,0,22.58,0,11.78,0,0,0,0,0,4.91,0,0,20.61,0,0,0.98
 72-82,0,0,1.96,0,0,0.98,5.89,0,37.3,1.96,0,0,0,0,0,2.94,0,0.98,0,10.8,0,26.5,0.98,0,0,0,0,0.98,0,0,14.72,0,0,0.98
 84-94,0,0,0,0,0,0,7.43,0,19.12,0,0,0,0,0,0,1.06,0,0,0,7.43,0,35.05,0,0,0,0,0,4.25,0,0,14.87,0,0,2.12
 96-106,0,0,0,0,0,0,4.37,0,21.86,1.09,0,0,1.09,0,1.09,3.28,0,0,0,4.37,0,60.11,1.09,0,0,0,0,4.37,0,0,18.58,0,1.09,2.19
108-118,0,0,0.77,0,1.53,0,3.06,0.77,29.87,0,0,0,0,1.53,1.53,0.77,0,0,0,6.13,0,28.34,0.77,0,0,0,0,3.83,0,0,11.49,0.77,0,1.53
120,0,0,1.96,0,0,0,0,0,9.8,0,0,0,0,0,0,0,1.96,0,0,3.92,0,27.44,0,0,0,0,0,1.96,0,0,7.84,0,0,0
