stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,513.94,11530.69,0,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0,0
  5-6,355.52,3647.13,0,0,0,0,0,12.26,0,0,0,98.07,6.13,0,79.69,0,0,0,0,0
  7-9,15.77,7.89,13.14,0,15.77,0,0,21.03,0,0,0,134.06,7.89,39.43,0,13.14,0,0,0,0
 10-12,0,3.15,3.15,0,9.44,0,0,0,0,0,0,22.03,3.15,56.65,0,0,0,0,0,0
 14-21,0,0,0,8,3,0,0,0,0,1,0,3,2,9,0,0,15,5,8,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
