stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,3,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,7.39,0,0,3.28,0,1.64,0,0,0
 36-46,4.83,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,8.06,0,0,3.22,0,1.61,0,0,0
 48-58,0.57,0,1.72,0,0,0,0,0,0,0,1.72,0,0,0,9.18,0,0,1.72,0,2.3,0,0,0
 60-70,0,0,2.94,0,0,0.98,0,0,0.98,0,1.96,0,0,0,10.8,0,0,4.91,0,0.98,0,0,0
 72-82,1.96,0.98,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0.98,3.93,0,0,10.8,0,0,0,0,0.98
 84-94,8.5,0,0,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,1.06,23.36,0,0,0,1.06,0
 96-106,4.37,0,1.09,0,2.19,4.37,0,0,0,0,1.09,1.09,0,0,4.37,0,0,9.84,0,0,0,1.09,0
108-118,5.36,0,0.77,0.77,2.3,0.77,1.53,0.77,0,0.77,2.3,0,1.53,0,3.06,0.77,0,13.79,0,0,0.77,0,0.77
120,3.92,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,1.96,0,1.96,9.8,0,0,0,1.96,0
