stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,4,29,1,0,0,1,0,1,3,0,48,35,9,0,0,0,0,0
 24-34,0,0,0,5.75,0,2.46,10.67,0,0,0.82,0,0,0,0.82,0,0,0,0.82,1.64,11.49,0.82,0,17.24,48.43,2.46,0.82,1.64,0,0,6.57,0,0,55.82,27.91,13.13,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,12.09,24.17,0,0,3.22,0,0,0,0,0,0,0,0,0,9.67,0,0.81,6.45,57.2,0,0.81,1.61,0.81,0,0,0,0,23.36,5.64,7.25,0,0,1.61,0,0.81
 48-58,0,0,0,1.15,0,15.49,12.05,1.15,1.72,1.72,0,0,0.57,0.57,0,0.57,0,0,0.57,5.74,0,0,6.89,40.17,0,0,0.57,0,0,0,0,0,11.48,0,8.03,0,0.57,1.15,0,0
 60-70,0,0,0,0,0,17.67,23.56,0,0.98,2.94,0,0,0.98,0,0,0,0,0,0,7.85,0.98,0,6.87,50.06,0,0,0,0,0,0,0,0,8.83,0,4.91,0,0.98,0.98,0,0.98
 72-82,0,0.98,0,3.93,0,10.8,14.72,0,1.96,3.93,0,0,0,0,0,0,1.96,0,0,12.76,0,0,4.91,37.3,0,0,0.98,0,0,2.94,0,0,6.87,0,3.93,0.98,0,1.96,0,0.98
 84-94,0,0,0,5.31,1.06,11.68,19.12,1.06,0,2.12,0,0,0,0,0,0,0,0,0,13.81,0,1.06,10.62,28.68,0,0,0,0,0,2.12,0,0,11.68,0,3.19,0,0,2.12,2.12,2.12
 96-106,0,0,0,5.46,0,25.14,16.39,3.28,0,7.65,0,0,0,1.09,2.19,0,0,0,0,9.84,0,0,6.56,29.51,1.09,1.09,0,0,0,5.46,0,0,8.74,0,1.09,2.19,0,4.37,0,3.28
108-118,0,0,0,0.77,0.77,12.26,22.98,0,0.77,2.3,0.77,0,0,0.77,0,0.77,0,0,0,7.66,0.77,2.3,7.66,13.02,0,0,0,0,0.77,2.3,0,0.77,13.02,0,0.77,0,0.77,0.77,0,1.53
120,0,0,0,3.92,0,3.92,29.4,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,11.76,39.2,0,1.96,0,0,1.96,1.96,0,1.96,9.8,0,1.96,0,0,0,0,0
