stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,1,1,0,0,0,0,0,15,0,1,0,0
 24-34,0,0,0,2.46,0,0,0.82,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,1.64,0,0,0,151.04,0,2.46,0,0,0.82,0,0,51.71,0,0,0,0
 36-46,0,0,0,0.81,0,0,7.25,0,0,0.81,5.64,0,0,0,0,0,0,0,0,3.22,0,0,1.61,484.21,0,4.03,0.81,0,0,0,0,84.6,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,41.31,0.57,1.15,1.72,10.33,0,0.57,0.57,0,0,0.57,0,0.57,8.61,0,0,1.15,761.44,0.57,1.15,0,0,1.15,0,0,102.14,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,65.76,0.98,0,0.98,10.8,0,0.98,1.96,0.98,0,0,0,0,8.83,0,1.96,0,1148.38,0,0.98,0.98,0,2.94,0,0.98,153.12,0,0,0,0.98
 72-82,0,0,0,7.85,3.93,0,68.72,0,0,0.98,16.69,0,0,0.98,0,0,0,0,0.98,10.8,0,0.98,1.96,814.78,0,2.94,0,0,1.96,0.98,0,86.39,0,0,0.98,0
 84-94,0,0,0,4.25,1.06,0,58.41,0,0,1.06,5.31,0,0,0,1.06,1.06,0,0,0,13.81,1.06,0,2.12,401.45,0,2.12,1.06,0,1.06,1.06,0,39.3,1.06,1.06,0,0
 96-106,0,0,0,3.28,1.09,0,32.79,0,0,0,8.74,1.09,1.09,1.09,2.19,0,0,1.09,0,12.02,0,0,2.19,284.14,0,1.09,1.09,0,2.19,0,0,15.3,0,3.28,1.09,0
108-118,0,0,0,6.89,2.3,0.77,30.64,0,0,0,6.13,0,0,0.77,0.77,0,0,0,0,5.36,0,0,0,303.32,0.77,0.77,0,0,0.77,0,0,11.49,0,0.77,0,0
120,0,0,0,5.88,0,0,39.2,0,0,0,9.8,0,0,5.88,1.96,1.96,0,0,0,7.84,0,0,0,360.6,0,0,3.92,0,3.92,0,0,3.92,0,0,1.96,0
