stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,2.46,0,0,0,0,0,0,0,0,27.91,2.46,0,0,11.49,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,53.17,3.22,0,0,12.09,0,0
 48-58,0,0,0.57,0,0,1.72,0,1.15,0,0.57,0,0,0,0.57,56.81,0.57,0,1.72,9.75,0.57,0.57
 60-70,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,81.47,0,0,0.98,8.83,0,0
 72-82,0,0,1.96,0,0,15.71,0,0.98,1.96,0.98,0,0,3.93,0,104.06,2.94,0,0,7.85,0,0
 84-94,0,0,3.19,0,1.06,11.68,0,2.12,0,0,0,1.06,1.06,1.06,73.28,3.19,0,0,2.12,0,0
 96-106,0,0,3.28,1.09,0,4.37,0,4.37,1.09,0,0,0,2.19,0,60.11,3.28,0,1.09,0,0,0
108-118,0,0,0.77,0,0,6.13,0,0,1.53,0,0,0,3.06,0,81.96,2.3,0,0,4.6,0,0
120,0,0,3.92,1.96,0,3.92,1.96,3.92,1.96,0,0,0,0,0,109.75,0,0,0,5.88,0,0
