stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,100.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,18.88,0,0,0,25.18,0,6.29,0,0,0,0,0
 14-21,0,0,0,70,98,40,3,0,1,0,5,22,2,0,0,0,2,0,23,0,0,56,69,5,1,35,4,0,5,1,66,0,11,81,0,7,0,0
 24-34,0,0,0,17.24,32.01,3.28,9.85,0,1.64,2.46,8.21,0,1.64,0,0,0,3.28,0,179.77,0,0,89.47,108.35,9.03,1.64,9.03,0,0,1.64,0.82,19.7,0.82,4.93,67.31,0,45.15,0,0
 36-46,0,0,0,0.81,2.42,0.81,16.92,0,1.61,19.34,8.06,0,0,0,0,0,0,1.61,253.79,0,0,107.15,64.45,1.61,0,1.61,0,0,0.81,0,7.25,0,0,29.81,0,17.72,0,0
 48-58,0,0,0,0.57,4.02,0,25.25,0,2.3,28.12,12.05,0,1.15,0,0,0,1.15,0.57,284.03,0,0,70,57.95,2.3,0,1.72,0,0,0,0,1.72,0,0,9.18,0,10.33,0,0
 60-70,0,0,0.98,0,1.96,0,13.74,1.96,3.93,23.56,5.89,0,1.96,0,0,0,0,0,354.33,0.98,0,48.09,46.13,1.96,0,0,0,3.93,0,0,13.74,0,0,4.91,0,4.91,1.96,0.98
 72-82,0,0,0,0,3.93,0.98,17.67,1.96,3.93,53.99,13.74,0,0.98,0,0,0,0,0,471.2,0,2.94,58.9,52.03,0,0,0.98,0,2.94,0.98,0,3.93,0,0,5.89,4.91,15.71,2.94,0
 84-94,1.06,0,0,1.06,6.37,1.06,28.68,1.06,1.06,38.23,7.43,1.06,3.19,1.06,1.06,1.06,0,0,338.79,0,2.12,44.61,36.11,0,0,1.06,0,0,2.12,0,10.62,0,0,3.19,1.06,13.81,1.06,0
 96-106,0,0,0,0,4.37,1.09,17.49,0,1.09,29.51,6.56,0,3.28,0,0,0,0,0,315.83,0,5.46,33.88,46.99,0,1.09,4.37,0,3.28,1.09,0,10.93,0,0,1.09,4.37,17.49,3.28,0
108-118,0,0,0,0,7.66,0,13.79,0,3.83,22.21,3.06,0,3.06,0,0,0,0,0,296.43,0,0,22.21,49.02,0.77,0.77,2.3,0,3.06,0.77,0,8.43,0,0,0.77,1.53,9.96,0.77,0.77
120,0,0,0,0,1.96,0,17.64,0,0,19.6,5.88,0,1.96,0,0,1.96,1.96,0,231.25,0,3.92,23.52,45.08,0,0,1.96,0,0,0,0,11.76,0,0,1.96,1.96,5.88,1.96,0
