stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,3,1,0
 24-34,0,1.64,0,2.46,0,0,0,0,0,0,0,0,4.1,0,0,22.98,0,0,0,0.82,0,3.28,1.64
 36-46,0,1.61,0,3.22,0,0,2.42,0,0,0,0,0,2.42,0,0.81,12.89,0,0,0,0,0,2.42,0
 48-58,0,0.57,0,5.16,0,0,1.15,0.57,0,0,0,0,1.72,0,1.15,6.89,0,0,0,0.57,0,1.72,0
 60-70,0,0,0,3.93,0.98,0,3.93,0,0,0,0,0,6.87,0,0.98,6.87,0,0,0,2.94,0,0.98,0
 72-82,0,0,0,0.98,0,0,2.94,0,0,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0.98,0
 84-94,0,0,0,3.19,0,0,3.19,0,0,0,0,0,2.12,0,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09,1.09,1.09,2.19,1.09,1.09,0,0,0,0,1.09
108-118,0,0,0,2.3,0,0.77,0,0,0.77,0,0.77,0.77,2.3,0,1.53,3.83,0,0,0,0,0,0.77,0
120,0,0,0,5.88,0,0,3.92,0,0,1.96,0,0,0,0,3.92,1.96,1.96,0,0,1.96,0,0,0
