stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,102,1,0,0,0,0,1,1,0,0,1,28,0,0,0,0,0
 24-34,0,0,0.82,0.82,2.46,0,0,21.34,0.82,0,0,2.46,0,0,0.82,0.82,0,0.82,0,0,8.21,0,0.82,3.28,394.83,0.82,3.28,2.46,0,0,1.64,0,0,1.64,0,99.32,0,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0,37.87,0,0.81,0.81,20.14,0,0,0.81,0,0,0,0,0,8.06,0,0,0.81,472.12,0,3.22,0,0,0,2.42,0,0,0.81,0,118.43,0,0,3.22,0,0.81
 48-58,0,0,0,0,11.48,0.57,0,110.17,0,2.87,0,37.87,0.57,0,0,0.57,0,0,0,0.57,16.07,0,0.57,4.59,596.76,0.57,3.44,1.15,0,0,2.87,0,0,0.57,0,138.86,0,0,1.15,0,1.72
 60-70,0,0,0.98,0,26.5,0,0,196.3,0,3.93,0,58.89,0.98,0,2.94,0,1.96,0,0,0,28.46,0.98,0,0,902.02,0,6.87,0.98,0,0,1.96,0,0,2.94,0,172.75,0,0,2.94,0,1.96
 72-82,0,0,1.96,0,26.5,0,0,210.08,0.98,4.91,0,68.72,0,0.98,5.89,1.96,0,2.94,0,0,57.92,0,0.98,3.93,673.42,0.98,6.87,3.93,0,0,0,0,0,2.94,0,78.53,0.98,2.94,1.96,1.96,0.98
 84-94,0,0,0,0,83.9,1.06,0,139.13,4.25,15.93,2.12,46.73,5.31,0,18.05,2.12,1.06,1.06,0,1.06,39.3,1.06,2.12,2.12,385.52,0,6.37,6.37,0,0,0,0,0,1.06,0,48.85,0,1.06,3.19,4.25,2.12
 96-106,0,0,1.09,0,45.9,0,1.09,115.84,1.09,9.84,1.09,41.53,2.19,1.09,12.02,2.19,0,2.19,1.09,0,40.44,1.09,2.19,2.19,302.72,0,8.74,6.56,0,0,1.09,0,0,1.09,0,27.32,0,1.09,5.46,1.09,1.09
108-118,0,0,0,0,52.09,1.53,0,85.79,0.77,18.38,0,44.43,0.77,0,9.96,0.77,0.77,0.77,0.77,0,32.94,0,2.3,1.53,350.81,0,3.83,3.06,0,0,2.3,0,0.77,1.53,0,24.51,0,0,3.06,0.77,1.53
120,0,0,0,0,74.47,0,0,101.91,1.96,7.84,0,60.75,0,1.96,19.6,0,0,1.96,1.96,0,15.68,0,1.96,3.92,344.92,1.96,0,0,0,3.92,1.96,0,0,0,0,31.36,0,0,3.92,1.96,0
