stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,600.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,28.92,44.69,0,0,63.09,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,488.94,5.26,0,0,210.3,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,25.18,0,3.15,62.94,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,525.54,6.29,0,0,226.58,0,0,3.15,9.44,12.59,3.15,0,0,0,0,0,0
 14-21,0,0,2,25,8,14,0,0,6,3,0,0,0,3,0,0,0,15,0,0,8,217,1,0,1,5,0,8,0,18,1,7,58,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,49.25,0.82,0,2.46,0.82,0,0.82,0,0,0,0,0,25.45,0,0.82,8.21,247.08,0.82,0.82,2.46,0,0,6.57,0,0.82,0.82,4.1,45.15,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,44.31,0,0.81,4.03,0,0,0,0,0,0,0,0,11.28,0,0.81,4.83,111.18,0,1.61,0,0,0,4.03,0,0,0,0,28.2,0,0,2.42,0,0.81
 48-58,0,0,0,2.87,0,46.48,0.57,0.57,8.03,0,0,0.57,0.57,0,0.57,0,0,20.66,0,0.57,5.74,60.25,0,0,1.15,0,0,2.3,0,0,0.57,0,9.18,0,0,2.87,0,0
 60-70,0,0,0,1.96,0,34.35,0.98,0.98,13.74,0,0,0,0,0,0,0,0.98,21.59,0,0,1.96,40.24,0,0,0.98,0,0.98,0.98,0,0,0.98,0,1.96,0,0,0,0,0.98
 72-82,0,0,0,1.96,0,19.63,0,3.93,7.85,0,0,0,0.98,0,0,0,0.98,29.45,0,0.98,4.91,53.99,0,0.98,1.96,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,4.25,0,24.43,0,2.12,8.5,4.25,0,0,2.12,1.06,1.06,1.06,0,18.05,1.06,2.12,2.12,24.43,0,0,0,0,1.06,1.06,0,0,0,0,1.06,1.06,1.06,1.06,0,0
 96-106,0,0,0,1.09,1.09,8.74,1.09,0,5.46,2.19,0,1.09,0,1.09,0,0,0,17.49,0,2.19,6.56,27.32,1.09,0,3.28,0,0,5.46,0,0,0,0,0,1.09,1.09,2.19,0,0
108-118,0,0,0,7.66,0,10.72,0,0.77,9.19,0.77,0,0,0.77,0,0,0.77,0,10.72,0,0,4.6,34.47,0.77,0.77,2.3,0,0,6.13,0,0,0.77,0,0.77,0,0,0.77,0.77,0
120,0,0,0,13.72,1.96,7.84,0,0,9.8,0,0,0,0,0,1.96,0,0,9.8,1.96,1.96,5.88,39.2,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0
