stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,0,0,33,0,0,0
 24-34,0,0,3.28,0,0,0,4.93,0,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0.82,402.22,0,14.78,0,0,0,0.82,96.86,0,0,0
 36-46,0,0,0,0.81,0,0,76.54,0,0,8.86,0,0,0.81,0.81,0,0,0,2.42,0,0,0,1138.41,0,8.86,0,0,2.42,0,173.22,0.81,0,0
 48-58,0,0,0,1.72,0.57,0,210.01,1.15,0.57,22.38,0,0,1.72,0,0,0,0,4.59,0.57,0,0.57,1200.4,0,7.46,0,0,1.15,0,183.62,0,0,1.15
 60-70,0,0,0.98,0.98,0,0,372,0,0,22.58,0,0,0.98,1.96,0,0,0.98,7.85,0,0,0,1584.18,0,1.96,0,0,0.98,0,158.03,0,0,0
 72-82,0,0,1.96,4.91,0.98,0,277.81,0,0,32.39,2.94,0,0,0,0,0,0,13.74,0,1.96,1.96,1077.86,0,9.82,1.96,0,0,0,92.28,0,0,1.96
 84-94,0,0,2.12,10.62,0,0,191.17,0,0,13.81,0,0,1.06,1.06,1.06,0,0,18.05,0,1.06,0,510.84,0,3.19,1.06,0,2.12,0,56.29,1.06,2.12,1.06
 96-106,0,0,2.19,5.46,1.09,0,144.26,0,0,26.23,0,0,0,1.09,1.09,2.19,0,16.39,0,0,0,374.85,0,12.02,2.19,0,0,0,18.58,1.09,1.09,2.19
108-118,0,0,3.06,6.13,0,0,101.87,1.53,0,19.15,0,0,0.77,0,0,0.77,0,6.13,0,0,0,519.32,0.77,7.66,0,0,0.77,0,13.79,0.77,0,0.77
120,0,0,1.96,9.8,1.96,1.96,121.51,0,0,17.64,0,0,0,1.96,0,3.92,0,1.96,0,0,5.88,538.94,1.96,3.92,0,0,3.92,0,13.72,1.96,0,0
